state,county,date,grocery/pharmacy,parks,residential,retail/recreation,transitstations,workplace
HN,Overall,2020-02-16,6.778,1.743,-0.43,2.586,1.247,0.105
HN,Overall,2020-02-17,5.26,1.331,-2.005,-1.549,0.163,10.284
HN,Overall,2020-02-18,2.126,-0.833,-2.204,-1.703,-3.121,10.498
HN,Overall,2020-02-19,-0.318,1.105,-1.071,-4.91,-2.583,8.318
HN,Overall,2020-02-20,-0.674,-0.58,-1.415,-3.586,-2.923,8.318
HN,Overall,2020-02-21,0.493,-3.384,-1.692,-3.155,-1.63,10.35
HN,Overall,2020-02-22,-1.032,-8.416,1.144,-5.434,-3.429,1.631
HN,Overall,2020-02-23,-0.443,-7.303,0.788,-4.552,-6.617,0.384
HN,Overall,2020-02-24,0.693,-2.661,-1.655,-5.202,-4.005,11.136
HN,Overall,2020-02-25,0.692,-2.556,-2.084,-4.472,-5.736,11.43
HN,Overall,2020-02-26,-2.791,1.049,-1.453,-5.758,-4.993,8.471
HN,Overall,2020-02-27,-5.346,-11.283,0.135,-8.591,-6.848,6.764
HN,Overall,2020-02-28,-0.493,-13.725,-0.145,-4.511,-8.538,9.659
HN,Overall,2020-02-29,5.745,-10.726,1.396,-0.907,-5.715,2.799
HN,Overall,2020-03-01,9.071,-4.288,0.234,2.84,-2.589,3.807
HN,Overall,2020-03-02,7.172,-1.109,-1.852,-1.133,-2.37,12.338
HN,Overall,2020-03-03,6.502,0.556,-2.169,0.278,-3.458,11.999
HN,Overall,2020-03-04,3.427,1.657,-1.552,-0.758,-1.98,10.074
HN,Overall,2020-03-05,2.119,0.58,-1.731,-1.628,-2.505,9.847
HN,Overall,2020-03-06,2.891,-2.812,-1.902,-1.165,0.078,12.639
HN,Overall,2020-03-07,0.809,-7.22,0.94,-2.16,-2.667,3.151
HN,Overall,2020-03-08,0.391,-8.999,0.814,-5.744,-5.562,-0.629
HN,Overall,2020-03-09,2.606,-4.269,-1.471,-4.832,-3.76,11.537
HN,Overall,2020-03-10,1.335,-4.056,-1.397,-4.275,-4.639,10.576
HN,Overall,2020-03-11,16.916,-1.325,-0.798,-4.819,-4.821,8.725
HN,Overall,2020-03-12,9.391,-3.48,0.073,-7.612,-5.845,6.115
HN,Overall,2020-03-13,8.136,-7.005,1.749,-7.424,-6.132,1.956
HN,Overall,2020-03-14,10.174,-9.942,2.723,-12.195,-8.001,-0.908
HN,Overall,2020-03-15,5.344,-15.078,3.054,-23.393,-19.565,-6.042
HN,Overall,2020-03-16,12.169,-20.014,12.141,-45.259,-37.271,-34.12
HN,Overall,2020-03-17,-35.526,-42.895,23.496,-71.384,-68.409,-63.971
HN,Overall,2020-03-18,-55.008,-46.556,27.872,-79.016,-70.768,-71.303
HN,Overall,2020-03-19,-44.693,-48.665,27.014,-76.254,-68.977,-70.138
HN,Overall,2020-03-20,-68.924,-60.094,32.068,-85.427,-80.255,-73.983
HN,Overall,2020-03-21,-72.353,-64.852,28.344,-86.031,-80.466,-69.092
HN,Overall,2020-03-22,-73.197,-62.855,20.203,-84.746,-79.697,-53.607
HN,Overall,2020-03-23,-63.307,-57.048,29.293,-81.86,-75.114,-72.374
HN,Overall,2020-03-24,-67.22,-58.841,29.462,-83.026,-77.603,-73.55
HN,Overall,2020-03-25,-52.584,-46.721,27.126,-74.48,-64.827,-68.874
HN,Overall,2020-03-26,-59.165,-54.36,29.312,-79.796,-70.898,-70.814
HN,Overall,2020-03-27,-52.001,-52.04,28.712,-75.38,-66.44,-66.426
HN,Overall,2020-03-28,-62.967,-61.841,27.269,-81.57,-74.827,-63.067
HN,Overall,2020-03-29,-63.735,-59.133,20.178,-81.018,-73.847,-46.099
