state,county,date,grocery/pharmacy,parks,residential,retail/recreation,transitstations,workplace
ML,Overall,2020-02-23,-3.459,-8.613,0.817,,-3.87,2.35
ML,Overall,2020-02-24,1.766,1.925,0.462,4.332,1.662,5.178
ML,Overall,2020-02-25,0.802,3.876,0.493,4.445,3.818,4.85
ML,Overall,2020-02-26,0.923,6.219,0.478,1.94,-0.824,5.992
ML,Overall,2020-02-27,1.374,1.221,0.703,2.794,-0.415,4.549
ML,Overall,2020-02-28,-3.414,0.575,0.613,4.58,-2.422,5.462
ML,Overall,2020-02-29,-3.8,,0.024,5.919,-3.105,5.981
ML,Overall,2020-03-01,-2.21,2.153,0.832,1.196,-2.418,5.641
ML,Overall,2020-03-02,2.882,3.209,-0.115,10.368,0.415,8.452
ML,Overall,2020-03-03,-1.425,5.168,0.404,5.745,-0.424,6.805
ML,Overall,2020-03-04,0.831,4.975,0.68,5.016,-2.472,6.595
ML,Overall,2020-03-05,0.824,4.274,0.206,3.326,-2.077,6.767
ML,Overall,2020-03-06,-2.39,8.631,0.495,5.161,-1.615,6.798
ML,Overall,2020-03-07,0.578,11.617,0.227,5.919,-6.597,7.199
ML,Overall,2020-03-08,0.961,1.615,0.695,1.569,-5.321,7.615
ML,Overall,2020-03-09,2.324,5.776,0.225,6.462,-4.155,7.233
ML,Overall,2020-03-10,-2.049,8.398,-0.441,3.214,2.546,6.542
ML,Overall,2020-03-11,1.476,7.463,0.216,1.07,-4.12,6.632
ML,Overall,2020-03-12,-0.733,9.158,0.327,-0.333,-6.647,6.193
ML,Overall,2020-03-13,-3.5,1.726,0.679,0.194,-7.267,6.209
ML,Overall,2020-03-14,-5.535,0.553,0.353,-1.511,-13.583,4.929
ML,Overall,2020-03-15,-4.42,-0.538,0.446,-4.483,-15.478,6.393
ML,Overall,2020-03-16,-4.462,4.493,-0.452,1.349,-6.647,5.216
ML,Overall,2020-03-17,-7.304,6.46,0.045,-0.889,-8.485,4.399
ML,Overall,2020-03-18,-0.738,3.731,0.716,-2.809,-8.653,4.221
ML,Overall,2020-03-19,-1.282,-0.611,2.961,-5.522,-13.295,-1.606
ML,Overall,2020-03-20,-7.853,-2.302,3.674,-7.161,-10.093,-2.318
ML,Overall,2020-03-21,-7.931,-4.425,3.34,-9.005,-20.18,-0.609
ML,Overall,2020-03-22,-7.111,-4.845,2.182,-10.834,-25.636,0.658
ML,Overall,2020-03-23,-2.882,5.135,3.549,-3.195,-16.618,-2.208
ML,Overall,2020-03-24,-5.701,8.398,4.027,-5.266,-14.425,-3.346
ML,Overall,2020-03-25,-0.461,3.109,5.144,-6.755,-16.069,-3.693
ML,Overall,2020-03-26,-9.069,-7.326,15.125,-25.148,-29.082,-33.872
ML,Overall,2020-03-27,-15.791,-6.33,11.68,-19.354,-25.031,-9.392
ML,Overall,2020-03-28,-18.67,-11.617,10.157,-22.922,-30.27,-3.544
ML,Overall,2020-03-29,-17.584,-11.843,9.024,-24.732,-36.277,-0.094
ML,Overall,2020-03-30,-12.179,-1.925,9.66,-14.344,-24.927,-8.87
ML,Overall,2020-03-31,-15.589,-3.876,9.683,-16.072,-25.88,-10.49
ML,Overall,2020-04-01,-12.458,-3.731,10.57,-19.263,-32.139,-10.966
ML,Overall,2020-04-02,-12.642,-6.105,11.213,-19.892,-23.681,-11.66
ML,Overall,2020-04-03,-18.608,-10.933,11.305,-20.644,-31.491,-11.121
ML,Overall,2020-04-04,-19.248,-14.936,9.412,-22.607,-31.435,-4.264
ML,Overall,2020-04-05,-17.392,-16.149,8.305,-23.537,-37.728,0.282
