state,county,date,grocery/pharmacy,parks,residential,retail/recreation,transitstations,workplace
PA,Overall,2020-02-23,0.909,34.28,-0.982,-7.708,-10.931,-8.697
PA,Overall,2020-02-24,-9.331,55.734,11.148,-20.731,-35.295,-63.986
PA,Overall,2020-02-25,-18.344,33.567,12.69,-35.533,-39.314,-72.773
PA,Overall,2020-02-26,-9.002,-7.828,7.564,-14.484,-21.654,-34.449
PA,Overall,2020-02-27,5.224,-5.997,0.212,1.831,-3.823,-2.056
PA,Overall,2020-02-28,5.136,-5.796,-0.158,5.0,2.571,1.309
PA,Overall,2020-02-29,14.527,-5.376,-1.52,14.184,7.708,5.222
PA,Overall,2020-03-01,20.499,-12.018,0.805,16.077,11.27,6.951
PA,Overall,2020-03-02,9.587,-2.787,-1.876,3.646,5.312,5.62
PA,Overall,2020-03-03,8.581,-1.867,-1.143,1.243,5.482,5.47
PA,Overall,2020-03-04,3.555,-1.734,-0.313,-2.743,4.967,6.527
PA,Overall,2020-03-05,3.692,-3.725,-0.408,-0.16,3.687,7.354
PA,Overall,2020-03-06,-2.575,-2.226,-0.839,-1.988,5.065,9.114
PA,Overall,2020-03-07,3.57,-7.361,1.651,1.706,1.79,5.01
PA,Overall,2020-03-08,8.283,-11.041,2.828,1.419,2.217,3.522
PA,Overall,2020-03-09,3.2,-3.911,-0.177,-4.296,0.759,6.773
PA,Overall,2020-03-10,14.01,-6.369,0.018,-5.26,-1.155,4.407
PA,Overall,2020-03-11,8.916,-14.719,5.372,-15.884,-11.328,0.332
PA,Overall,2020-03-12,7.355,-20.488,7.847,-16.571,-16.688,-4.761
PA,Overall,2020-03-13,4.741,-19.949,9.273,-17.958,-15.196,-4.753
PA,Overall,2020-03-14,3.092,-29.514,11.139,-22.291,-17.755,-5.954
PA,Overall,2020-03-15,-5.81,-43.438,13.954,-37.342,-26.166,-12.344
PA,Overall,2020-03-16,-10.995,-28.013,13.981,-28.915,-24.71,-18.401
PA,Overall,2020-03-17,-18.125,-36.104,18.136,-38.884,-33.558,-27.864
PA,Overall,2020-03-18,-28.74,-39.422,21.955,-46.231,-38.892,-31.921
PA,Overall,2020-03-19,-29.26,-45.52,24.289,-49.583,-45.619,-36.758
PA,Overall,2020-03-20,-27.521,-47.753,26.238,-50.459,-45.416,-36.98
PA,Overall,2020-03-21,-36.467,-60.58,27.221,-64.164,-52.412,-43.336
PA,Overall,2020-03-22,-41.281,-67.003,24.575,-69.553,-59.35,-42.862
PA,Overall,2020-03-23,-37.694,-55.636,30.789,-62.663,-61.445,-53.959
PA,Overall,2020-03-24,-47.458,-61.722,33.671,-69.645,-67.076,-60.958
PA,Overall,2020-03-25,-54.255,-70.594,40.459,-81.785,-77.057,-72.404
PA,Overall,2020-03-26,-53.091,-70.733,40.852,-80.946,-76.568,-72.645
PA,Overall,2020-03-27,-53.571,-71.02,43.554,-81.381,-76.246,-72.063
PA,Overall,2020-03-28,-53.348,-75.301,36.503,-82.37,-76.309,-67.672
PA,Overall,2020-03-29,-60.707,-77.863,30.761,-84.586,-77.298,-58.978
PA,Overall,2020-03-30,-54.821,-68.787,39.744,-79.673,-76.271,-72.207
PA,Overall,2020-03-31,-51.121,-69.144,38.312,-79.129,-75.123,-73.104
PA,Overall,2020-04-01,-68.002,-72.891,42.261,-85.095,-79.55,-74.892
PA,Overall,2020-04-02,-53.324,-70.097,41.143,-80.967,-76.957,-74.387
PA,Overall,2020-04-03,-64.566,-74.548,45.08,-84.941,-79.521,-74.527
PA,Overall,2020-04-04,-54.111,-74.832,36.784,-82.877,-76.431,-69.673
PA,Overall,2020-04-05,-95.179,-86.008,35.631,-95.614,-89.194,-74.346
