state,county,date,grocery/pharmacy,parks,residential,retail/recreation,transitstations,workplace
LY,Overall,2020-02-16,8.763,13.79,3.328,6.089,-3.204,-11.164
LY,Overall,2020-02-17,0.392,27.571,4.252,-1.586,-4.243,-21.746
LY,Overall,2020-02-18,5.781,11.37,0.506,3.473,4.172,4.485
LY,Overall,2020-02-19,4.0,8.908,-0.598,2.072,0.841,5.469
LY,Overall,2020-02-20,4.612,8.207,0.66,1.66,6.512,3.613
LY,Overall,2020-02-21,3.663,5.681,0.73,3.23,8.432,2.807
LY,Overall,2020-02-22,3.616,3.219,0.243,2.512,10.013,6.407
LY,Overall,2020-02-23,6.572,12.291,0.246,5.712,3.204,6.254
LY,Overall,2020-02-24,6.797,9.069,-0.576,4.994,4.243,5.931
LY,Overall,2020-02-25,6.701,15.404,-0.314,5.474,7.509,6.582
LY,Overall,2020-02-26,5.419,11.402,-0.48,3.51,6.731,6.574
LY,Overall,2020-02-27,7.282,13.131,1.032,3.266,10.582,4.954
LY,Overall,2020-02-28,3.51,8.521,0.289,3.511,8.432,3.015
LY,Overall,2020-02-29,5.736,10.302,-0.127,3.261,9.102,7.112
LY,Overall,2020-03-01,8.763,12.591,0.604,7.491,2.403,8.943
LY,Overall,2020-03-02,8.104,13.06,-0.646,4.407,6.788,8.838
LY,Overall,2020-03-03,7.358,11.736,0.392,5.651,3.338,9.727
LY,Overall,2020-03-04,6.967,8.195,0.71,3.625,-0.841,8.378
LY,Overall,2020-03-05,7.039,9.848,0.579,3.48,4.884,7.576
LY,Overall,2020-03-06,6.41,15.977,-0.264,5.336,8.432,4.367
LY,Overall,2020-03-07,7.357,15.775,-0.669,3.261,-0.91,8.309
LY,Overall,2020-03-08,8.634,13.19,-0.51,4.311,-1.602,9.352
LY,Overall,2020-03-09,7.451,14.511,-2.31,4.172,-2.546,7.443
LY,Overall,2020-03-10,5.125,14.67,-1.1,3.061,-6.675,6.99
LY,Overall,2020-03-11,8.516,13.54,-1.408,4.316,-3.366,7.563
LY,Overall,2020-03-12,10.437,16.414,0.237,4.444,1.628,7.926
LY,Overall,2020-03-13,8.242,19.528,0.049,6.741,-1.054,4.367
LY,Overall,2020-03-14,10.224,16.097,0.104,2.245,0.91,5.985
LY,Overall,2020-03-15,14.046,13.79,3.073,1.132,-4.806,1.461
LY,Overall,2020-03-16,9.411,9.432,3.213,-6.581,-11.879,-1.744
LY,Overall,2020-03-17,5.781,5.135,4.992,-9.712,-20.025,-2.388
LY,Overall,2020-03-18,3.484,1.425,6.296,-14.156,-26.083,-4.538
LY,Overall,2020-03-19,-8.617,-11.49,11.428,-26.771,-32.561,-11.947
LY,Overall,2020-03-20,-13.737,-20.593,10.048,-34.967,-41.104,-9.046
LY,Overall,2020-03-21,-8.978,-18.351,9.754,-28.92,-39.14,-10.843
LY,Overall,2020-03-22,-18.041,-23.382,15.194,-37.506,-48.861,-23.848
LY,Overall,2020-03-23,-16.6,-23.58,13.546,-38.957,-45.82,-28.026
LY,Overall,2020-03-24,-5.519,-17.604,11.177,-33.552,-41.719,-30.113
LY,Overall,2020-03-25,-32.386,-36.344,18.964,-53.227,-59.738,-41.016
LY,Overall,2020-03-26,-32.04,-35.126,20.636,-52.793,-56.982,-38.698
LY,Overall,2020-03-27,-33.121,-36.215,14.188,-50.554,-55.859,-15.284
LY,Overall,2020-03-28,-27.806,-28.975,16.627,-49.448,-51.883,-27.32
LY,Overall,2020-03-29,-27.963,-32.376,20.878,-48.931,-52.065,-35.713
