state,county,date,grocery/pharmacy,parks,residential,retail/recreation,transitstations,workplace
DK,Capital Region of Denmark,2020-02-23,-1.548,-8.181,0.516,-0.189,1.493,1.616
DK,Capital Region of Denmark,2020-02-24,-0.739,15.152,0.434,-0.118,1.727,2.416
DK,Capital Region of Denmark,2020-02-25,-2.257,1.952,0.605,-2.537,2.912,2.473
DK,Capital Region of Denmark,2020-02-26,-2.212,0.425,0.715,0.36,0.058,2.615
DK,Capital Region of Denmark,2020-02-27,1.995,25.655,0.01,2.699,2.769,1.933
DK,Capital Region of Denmark,2020-02-28,-1.609,24.366,-0.472,12.67,3.595,2.333
DK,Capital Region of Denmark,2020-02-29,-7.562,-19.115,0.301,5.587,2.254,0.583
DK,Capital Region of Denmark,2020-03-01,-9.236,4.091,-0.438,20.905,4.754,2.381
DK,Capital Region of Denmark,2020-03-02,-7.551,33.854,0.183,12.054,-0.117,2.28
DK,Capital Region of Denmark,2020-03-03,-6.33,14.149,0.289,7.386,-3.182,2.305
DK,Capital Region of Denmark,2020-03-04,-7.402,10.417,0.639,8.361,-1.097,1.969
DK,Capital Region of Denmark,2020-03-05,-5.513,31.184,-0.005,7.977,-3.448,1.795
DK,Capital Region of Denmark,2020-03-06,-5.641,14.417,0.778,2.153,-3.988,1.422
DK,Capital Region of Denmark,2020-03-07,-4.027,43.267,-0.331,5.427,2.004,1.021
DK,Capital Region of Denmark,2020-03-08,-8.612,9.058,0.046,9.56,-1.886,-1.446
DK,Capital Region of Denmark,2020-03-09,-9.142,3.078,1.633,3.287,-5.27,-0.289
DK,Capital Region of Denmark,2020-03-10,-4.212,-4.147,2.307,-0.905,-9.906,-0.672
DK,Capital Region of Denmark,2020-03-11,7.673,26.998,2.886,3.977,-14.782,-3.031
DK,Capital Region of Denmark,2020-03-12,22.635,-20.126,14.669,-17.462,-36.653,-34.098
DK,Capital Region of Denmark,2020-03-13,-8.187,-15.026,20.564,-35.745,-51.349,-52.067
DK,Capital Region of Denmark,2020-03-14,-10.314,78.236,8.482,-37.009,-42.797,-18.807
DK,Capital Region of Denmark,2020-03-15,-26.285,-16.801,9.153,-41.674,-54.382,-24.15
DK,Capital Region of Denmark,2020-03-16,-16.939,35.038,20.802,-30.311,-58.261,-60.29
DK,Capital Region of Denmark,2020-03-17,-2.723,41.228,21.486,-31.016,-60.369,-62.5
DK,Capital Region of Denmark,2020-03-18,-24.507,-1.913,24.711,-49.711,-67.472,-65.014
DK,Capital Region of Denmark,2020-03-19,-21.627,104.609,23.523,-46.7,-63.642,-65.973
DK,Capital Region of Denmark,2020-03-20,-23.888,44.266,25.671,-53.611,-68.745,-66.099
DK,Capital Region of Denmark,2020-03-21,-23.581,56.454,12.55,-58.307,-63.91,-34.771
DK,Capital Region of Denmark,2020-03-22,-28.432,20.015,10.47,-52.916,-68.606,-34.609
DK,Capital Region of Denmark,2020-03-23,-23.28,41.193,23.031,-44.742,-67.337,-65.959
DK,Capital Region of Denmark,2020-03-24,-20.852,55.377,23.421,-45.74,-66.973,-66.361
DK,Capital Region of Denmark,2020-03-25,-20.987,52.083,23.718,-45.265,-67.529,-65.737
DK,Capital Region of Denmark,2020-03-26,-19.61,71.435,23.563,-45.629,-67.118,-65.881
DK,Capital Region of Denmark,2020-03-27,-19.774,79.8,24.18,-49.917,-68.063,-65.3
DK,Capital Region of Denmark,2020-03-28,-18.323,50.379,11.809,-55.229,-65.091,-34.552
DK,Capital Region of Denmark,2020-03-29,-24.737,13.149,10.283,-50.238,-69.746,-34.524
DK,Capital Region of Denmark,2020-03-30,-21.846,42.14,22.54,-41.067,-66.312,-64.88
DK,Capital Region of Denmark,2020-03-31,-9.705,73.917,21.645,-34.006,-60.999,-64.469
DK,Capital Region of Denmark,2020-04-01,-17.85,-1.913,23.57,-41.883,-66.894,-64.921
DK,Capital Region of Denmark,2020-04-02,-17.884,-3.096,24.115,-44.619,-68.785,-65.328
DK,Capital Region of Denmark,2020-04-03,-12.524,14.62,24.457,-48.578,-68.299,-64.677
DK,Capital Region of Denmark,2020-04-04,-11.186,47.86,11.073,-51.175,-62.622,-32.147
DK,Capital Region of Denmark,2020-04-05,-14.877,93.209,7.746,-37.777,-60.315,-29.082
DK,Central Denmark Region,2020-02-23,-0.478,0.641,0.441,1.28,1.222,-0.423
DK,Central Denmark Region,2020-02-24,-0.141,12.766,0.3,-2.584,2.645,3.006
DK,Central Denmark Region,2020-02-25,-3.592,-12.401,1.026,-7.307,-0.928,2.336
DK,Central Denmark Region,2020-02-26,-2.111,-4.814,0.664,-4.63,-1.296,2.801
DK,Central Denmark Region,2020-02-27,1.41,23.63,0.207,2.027,2.836,2.324
DK,Central Denmark Region,2020-02-28,-0.819,25.188,-1.059,18.01,11.634,2.535
DK,Central Denmark Region,2020-02-29,-3.532,-20.591,-0.357,11.519,8.89,-0.193
DK,Central Denmark Region,2020-03-01,-8.578,-9.936,-0.334,17.556,5.651,-0.635
DK,Central Denmark Region,2020-03-02,-7.461,28.595,-0.1,11.639,2.95,2.068
DK,Central Denmark Region,2020-03-03,-7.763,,0.326,8.255,1.238,2.24
DK,Central Denmark Region,2020-03-04,-6.56,20.133,0.095,10.772,2.392,1.925
DK,Central Denmark Region,2020-03-05,-4.864,32.793,-0.156,11.742,1.956,1.53
