state,county,date,grocery/pharmacy,parks,residential,retail/recreation,transitstations,workplace
TZ,Overall,2020-02-23,-17.024,-11.314,0.357,-10.659,-11.552,-6.498
TZ,Overall,2020-02-24,-3.974,-0.333,0.732,-3.841,-1.863,0.731
TZ,Overall,2020-02-25,-2.542,-2.531,1.506,0.476,0.125,-0.672
TZ,Overall,2020-02-26,-1.796,-1.195,0.536,1.096,2.446,-1.207
TZ,Overall,2020-02-27,3.447,0.215,0.753,1.512,6.147,-0.433
TZ,Overall,2020-02-28,-1.39,-2.165,0.633,-1.214,3.772,-1.393
TZ,Overall,2020-02-29,3.299,,-0.803,1.876,7.758,0.331
TZ,Overall,2020-03-01,0.055,,-0.225,3.072,5.105,-2.198
TZ,Overall,2020-03-02,-0.611,-0.999,1.77,-4.446,4.069,-1.995
TZ,Overall,2020-03-03,1.245,3.741,0.775,-0.214,4.018,-1.374
TZ,Overall,2020-03-04,-1.796,0.326,2.675,-4.216,0.908,-3.347
TZ,Overall,2020-03-05,4.667,3.76,1.027,2.623,7.433,-1.145
TZ,Overall,2020-03-06,-0.959,4.64,0.926,-1.512,3.322,-1.894
TZ,Overall,2020-03-07,1.673,2.253,0.043,-0.359,3.103,-0.331
TZ,Overall,2020-03-08,-0.382,2.703,-0.006,7.014,3.105,-1.907
TZ,Overall,2020-03-09,-1.223,3.219,2.084,-5.983,2.132,-2.224
TZ,Overall,2020-03-10,1.245,4.071,1.855,-2.544,2.046,-3.023
TZ,Overall,2020-03-11,3.065,3.258,0.671,0.191,4.211,-1.788
TZ,Overall,2020-03-12,2.493,3.545,1.102,-1.087,4.372,-1.222
TZ,Overall,2020-03-13,-1.917,3.093,0.988,-4.025,0.095,-2.787
TZ,Overall,2020-03-14,-1.069,-0.49,0.364,-4.451,-0.846,-1.588
TZ,Overall,2020-03-15,-2.51,-1.502,0.564,-4.882,-1.289,-4.235
TZ,Overall,2020-03-16,5.452,0.222,1.207,-6.332,1.078,-2.193
TZ,Overall,2020-03-17,7.989,-1.76,1.416,-6.016,0.524,-3.237
TZ,Overall,2020-03-18,8.295,-1.738,1.449,-6.454,2.547,-6.25
TZ,Overall,2020-03-19,4.508,-2.578,2.455,-6.924,5.324,-8.835
TZ,Overall,2020-03-20,-2.924,-3.403,3.521,-11.478,-2.705,-10.052
TZ,Overall,2020-03-21,-4.321,-7.74,3.593,-14.711,-5.266,-5.821
TZ,Overall,2020-03-22,-10.804,-10.313,4.213,-18.888,-10.815,-9.667
TZ,Overall,2020-03-23,-3.159,-5.217,4.862,-13.316,-6.299,-11.133
TZ,Overall,2020-03-24,-2.646,-5.391,4.616,-12.364,-6.239,-12.107
TZ,Overall,2020-03-25,0.74,-5.104,4.269,-8.812,-3.933,-12.714
TZ,Overall,2020-03-26,5.144,-3.545,3.674,-7.751,-1.132,-12.115
TZ,Overall,2020-03-27,-2.924,-6.187,4.809,-13.777,-7.83,-12.666
TZ,Overall,2020-03-28,-3.252,-7.054,3.481,-14.851,-8.604,-6.879
TZ,Overall,2020-03-29,-7.966,-6.608,3.036,-16.092,-10.789,-9.117
TZ,Overall,2020-03-30,-3.21,-6.105,5.2,-13.968,-7.745,-13.753
TZ,Overall,2020-03-31,-0.986,-8.032,4.939,-12.364,-7.138,-14.733
TZ,Overall,2020-04-01,-0.74,-6.516,5.282,-13.075,-7.791,-15.266
TZ,Overall,2020-04-02,-0.795,-9.454,5.931,-13.588,-5.915,-15.287
TZ,Overall,2020-04-03,-5.704,-7.115,6.196,-17.568,-10.606,-15.328
TZ,Overall,2020-04-04,-5.111,-10.875,4.482,-18.484,-11.073,-8.82
TZ,Overall,2020-04-05,-11.622,-13.217,4.643,-20.516,-14.815,-11.833
