state,county,date,grocery/pharmacy,parks,residential,retail/recreation,transitstations,workplace
New York,Overall,2020-02-23,1.532,54.202,-1.164,8.933,3.12,2.518
New York,Overall,2020-02-24,0.002,24.764,-0.413,2.987,-0.724,3.579
New York,Overall,2020-02-25,-2.374,-0.702,0.083,-0.601,-0.78,3.411
New York,Overall,2020-02-26,2.875,-0.75,-0.382,3.995,0.234,3.221
New York,Overall,2020-02-27,-2.481,-4.491,1.152,-1.479,-0.362,0.466
New York,Overall,2020-02-28,0.01,-8.726,0.53,0.811,0.144,3.002
New York,Overall,2020-02-29,1.365,-5.256,-0.419,7.035,-0.556,4.39
New York,Overall,2020-03-01,5.084,9.109,-0.67,9.924,0.407,3.175
New York,Overall,2020-03-02,5.443,16.493,-0.422,6.146,-1.065,4.015
New York,Overall,2020-03-03,5.727,5.89,-0.281,4.407,-0.275,3.841
New York,Overall,2020-03-04,8.193,15.691,-0.396,7.199,-0.007,3.014
New York,Overall,2020-03-05,8.791,21.245,-0.92,7.681,0.178,3.765
New York,Overall,2020-03-06,-0.078,-11.287,1.149,-1.314,-3.113,2.823
New York,Overall,2020-03-07,7.798,16.766,-0.605,10.006,0.21,5.517
New York,Overall,2020-03-08,7.161,61.013,-0.633,9.941,-0.361,2.236
New York,Overall,2020-03-09,8.399,62.074,-0.047,7.414,-4.147,1.282
New York,Overall,2020-03-10,6.895,13.899,1.389,0.72,-6.862,-0.907
New York,Overall,2020-03-11,11.188,20.45,1.286,2.918,-7.991,-1.156
New York,Overall,2020-03-12,27.368,5.821,2.174,0.98,-13.064,-3.21
New York,Overall,2020-03-13,27.86,0.651,5.146,-5.923,-19.213,-7.907
New York,Overall,2020-03-14,21.385,20.229,3.605,-8.708,-20.509,-1.925
New York,Overall,2020-03-15,13.761,27.693,4.287,-13.871,-25.451,-7.317
New York,Overall,2020-03-16,24.088,-10.509,10.361,-14.732,-36.152,-24.993
New York,Overall,2020-03-17,13.342,-16.192,14.443,-31.028,-41.799,-31.844
New York,Overall,2020-03-18,10.052,6.899,15.582,-32.609,-44.275,-36.054
New York,Overall,2020-03-19,1.57,-15.876,18.102,-38.816,-49.787,-39.856
New York,Overall,2020-03-20,7.77,-9.108,20.266,-39.751,-50.103,-42.795
New York,Overall,2020-03-21,0.012,-0.863,13.194,-45.809,-50.09,-29.898
New York,Overall,2020-03-22,-18.69,-14.605,12.75,-53.715,-59.13,-35.974
New York,Overall,2020-03-23,-36.949,-63.972,25.83,-62.208,-69.488,-56.668
New York,Overall,2020-03-24,-17.619,-16.055,24.565,-53.325,-63.336,-56.421
New York,Overall,2020-03-25,-23.282,-38.319,25.683,-55.859,-65.972,-57.39
New York,Overall,2020-03-26,-17.915,0.537,24.894,-52.295,-64.48,-57.376
New York,Overall,2020-03-27,-20.066,-7.146,26.748,-53.736,-64.064,-57.155
New York,Overall,2020-03-28,-28.508,-51.62,18.371,-61.523,-67.255,-44.938
New York,Overall,2020-03-29,-31.707,-46.776,15.635,-61.775,-68.416,-45.571
New York,Overall,2020-03-30,-26.045,-40.352,25.735,-54.971,-68.602,-59.845
New York,Overall,2020-03-31,-23.988,-35.969,26.495,-54.974,-68.829,-60.981
New York,Overall,2020-04-01,-18.318,-13.416,26.077,-51.582,-67.331,-61.074
New York,Overall,2020-04-02,-19.893,-25.736,26.998,-53.991,-69.098,-61.795
New York,Overall,2020-04-03,-22.314,-55.68,29.908,-57.499,-69.749,-61.771
New York,Overall,2020-04-04,-21.402,-5.088,17.649,-57.76,-65.238,-47.25
New York,Overall,2020-04-05,-28.521,-11.312,15.088,-59.23,-67.72,-47.087
