state,county,category,2020-02-16,2020-02-17,2020-02-18,2020-02-19,2020-02-20,2020-02-21,2020-02-22,2020-02-23,2020-02-24,2020-02-25,2020-02-26,2020-02-27,2020-02-28,2020-02-29,2020-03-01,2020-03-02,2020-03-03,2020-03-04,2020-03-05,2020-03-06,2020-03-07,2020-03-08,2020-03-09,2020-03-10,2020-03-11,2020-03-12,2020-03-13,2020-03-14,2020-03-15,2020-03-16,2020-03-17,2020-03-18,2020-03-19,2020-03-20,2020-03-21,2020-03-22,2020-03-23,2020-03-24,2020-03-25,2020-03-26,2020-03-27,2020-03-28,2020-03-29
Idaho,Ada County,grocery/pharmacy,3.324,4.827,4.672,4.404,4.659,4.273,8.409,9.532,6.941,5.874,9.689,10.584,9.111,11.006,18.819,14.71,15.773,15.252,14.881,12.416,13.356,14.811,13.515,14.2,15.252,27.003,40.352,37.017,25.37,33.696,19.936,17.245,13.524,14.391,1.319,-5.328,-1.977,-1.573,9.133,-14.655,-16.891,-21.682,-23.903
Idaho,Ada County,parks,-5.65,35.636,26.139,7.034,18.808,16.071,71.245,87.218,28.587,45.646,31.484,69.806,64.583,47.582,86.864,33.678,64.763,53.591,94.401,59.524,18.261,112.288,54.041,101.436,99.143,85.72,61.012,23.148,63.912,94.377,56.57,38.853,120.804,85.417,115.484,169.138,42.685,34.332,11.723,30.744,13.69,39.866,33.898
Idaho,Ada County,residential,-0.84,6.093,-0.185,-0.385,-0.779,-0.927,-1.55,-1.324,-0.795,-0.963,-0.978,-1.887,-0.623,-1.382,-1.845,-0.939,-0.97,-0.937,-1.95,-1.065,-0.491,-0.982,-0.558,-1.255,-0.891,-0.754,0.651,2.465,3.002,6.629,11.056,12.775,12.981,15.659,8.414,6.291,15.716,18.193,18.564,21.288,23.869,13.687,11.165
Idaho,Ada County,retail/recreation,11.428,11.257,1.159,0.907,3.135,2.665,9.481,11.616,3.885,8.18,6.639,9.044,6.982,11.837,20.03,7.83,8.562,6.213,10.071,7.124,12.14,16.027,5.496,9.056,6.021,7.483,2.219,-4.119,-3.375,-3.398,-14.326,-19.478,-21.476,-31.898,-38.171,-33.419,-32.915,-34.557,-35.08,-48.022,-52.442,-53.867,-50.623
Idaho,Ada County,transitstations,-2.963,-2.586,7.33,8.394,6.432,3.883,1.568,2.963,4.802,6.173,6.487,7.862,5.909,4.032,7.978,-1.847,-0.579,3.625,6.075,3.208,8.065,1.596,-2.586,3.472,0.763,-3.752,-7.935,-10.977,-14.588,-18.285,-17.361,-20.414,-28.23,-35.96,-32.706,-38.977,-41.371,-37.037,-38.919,-46.455,-50.817,-47.043,-55.844
Idaho,Ada County,workplace,1.782,-32.442,0.968,2.636,1.502,2.943,2.965,3.483,2.518,2.516,3.457,2.767,-2.414,2.83,3.726,2.919,2.882,3.695,2.36,2.989,1.752,3.888,2.05,1.806,2.787,0.922,,0.202,-8.91,-18.271,-27.654,-31.957,-35.137,-38.171,-23.38,-33.858,-45.053,-47.374,-48.896,-55.237,-55.418,-39.753,-44.55
Idaho,Bannock County,grocery/pharmacy,-4.727,3.534,-3.646,2.205,2.658,-1.415,2.576,0.727,2.693,3.299,4.75,7.476,5.661,5.723,6.363,9.929,10.59,8.143,5.15,3.68,9.158,6.726,7.404,15.104,10.858,23.757,30.288,22.751,12.907,27.093,19.618,12.385,8.307,3.68,-4.436,-12.18,-5.722,-8.16,2.545,-9.304,-18.399,-24.754,-25.269
Idaho,Bannock County,parks,13.828,43.952,20.025,11.713,16.205,21.627,40.32,43.586,18.01,30.038,24.37,46.879,45.817,14.093,53.563,22.083,42.762,33.627,55.368,41.171,1.716,66.517,37.734,65.498,60.075,54.21,32.681,-11.152,28.532,65.392,56.32,47.607,93.373,68.726,75.982,140.035,46.525,39.841,10.201,23.536,10.573,13.358,24.681
Idaho,Bannock County,residential,0.064,6.817,0.48,-0.326,-0.407,-0.518,-1.885,-1.089,-0.656,-0.407,-1.351,-2.289,0.226,-2.123,-0.866,-1.675,-0.724,-1.327,-1.338,-1.827,-1.033,-1.041,-0.971,-1.235,-1.108,-1.409,-1.006,2.958,3.212,1.462,7.286,9.043,9.84,11.19,8.967,5.753,10.818,13.628,12.989,16.216,17.876,12.193,9.31
Idaho,Bannock County,retail/recreation,14.027,15.137,-3.47,5.838,3.756,3.171,5.064,29.249,4.448,5.506,16.823,17.048,14.123,12.524,32.62,12.875,12.219,15.748,11.991,11.241,10.673,30.01,7.413,10.862,12.675,10.836,6.629,-7.732,10.982,-0.468,-7.995,-11.753,-15.748,-24.327,-37.3,-15.984,-27.856,-27.909,-25.734,-41.175,-47.5,-55.595,-40.558
Idaho,Bannock County,transitstations,4.529,9.804,5.661,16.801,28.736,9.557,12.5,18.116,8.578,16.984,8.961,32.328,20.069,13.542,21.135,24.51,9.058,19.041,62.261,10.512,15.625,22.645,28.186,13.587,15.681,31.13,15.291,-8.333,22.645,3.676,3.397,-5.6,,-11.468,-19.792,3.019,-7.353,-3.397,-15.681,-13.17,-25.803,-39.583,-28.684
Idaho,Bannock County,workplace,-1.12,-36.758,2.509,2.503,1.953,6.269,12.875,4.107,7.046,4.254,2.612,2.279,-5.787,7.608,3.734,8.455,2.509,2.83,1.628,6.631,6.437,1.867,7.516,1.963,2.503,1.085,3.858,4.096,-6.72,-0.705,-20.288,-25.688,-28.863,-28.453,-15.508,-25.015,-33.0,-39.485,-39.511,-46.224,-44.608,-28.968,-38.082
Idaho,Bingham County,grocery/pharmacy,-8.013,-5.397,-1.079,4.987,-1.562,-4.041,-0.513,1.002,2.159,4.318,2.77,3.125,3.143,1.539,18.029,4.858,12.414,15.514,14.583,3.592,15.907,21.034,9.715,9.715,14.96,21.875,34.124,43.617,47.075,41.559,25.907,22.717,14.062,13.47,16.933,11.018,10.255,3.778,17.176,-8.333,-10.327,-8.21,-13.021
Idaho,Bingham County,parks,13.828,43.952,20.025,11.713,16.205,21.627,40.32,43.586,18.01,30.038,24.37,46.879,45.817,14.093,53.563,22.083,42.762,33.627,55.368,41.171,1.716,66.517,37.734,65.498,60.075,54.21,32.681,-11.152,28.532,65.392,56.32,47.607,93.373,68.726,75.982,140.035,46.525,39.841,10.201,23.536,10.573,13.358,24.681
Idaho,Bingham County,residential,-0.359,3.443,-0.194,-0.295,-0.349,-1.048,-1.315,-0.845,-2.348,-0.788,-1.199,-1.304,-1.677,-1.526,-1.616,-2.618,-1.101,-1.005,-1.314,-1.291,-0.771,-1.094,-2.512,-1.353,-1.029,-0.992,-0.29,2.627,2.705,1.483,7.031,8.846,9.529,10.415,6.671,5.221,9.141,13.203,13.86,16.88,17.913,11.751,9.81
Idaho,Bingham County,retail/recreation,3.623,5.372,-2.009,5.452,4.636,2.925,14.152,21.286,2.089,4.591,16.931,5.726,11.699,8.816,21.739,17.013,11.478,8.609,12.271,7.199,9.512,20.833,11.939,12.913,12.913,16.089,13.724,-0.232,5.888,13.73,2.009,-4.878,-10.362,-18.224,-33.176,-13.134,-15.222,-18.652,-20.661,-33.541,-38.022,-39.903,-21.739
Idaho,Bingham County,transitstations,0.163,-0.263,8.921,7.355,7.366,6.721,8.681,9.147,4.348,9.32,6.967,9.863,9.503,11.141,16.007,2.898,7.19,7.355,12.734,7.648,11.141,13.557,4.611,11.317,6.064,6.742,2.202,-2.026,1.96,-2.108,-2.397,-6.064,-9.238,-16.108,-10.418,-11.434,-19.762,-14.247,-19.354,-26.467,-32.796,-28.648,-33.974
Idaho,Bingham County,workplace,-9.549,-24.65,3.382,4.829,4.167,2.651,5.669,4.34,15.108,2.931,2.759,6.481,2.12,4.96,,20.409,4.509,5.059,2.546,-1.06,8.503,-1.736,20.409,2.255,4.599,3.704,1.325,-1.417,-19.097,17.229,-16.459,-19.776,-22.454,-22.265,-6.378,-26.91,-17.759,-31.566,-32.653,-36.806,-35.252,-19.841,-39.062
Idaho,Blaine County,grocery/pharmacy,-7.246,-7.267,-1.736,-4.883,-4.921,-7.603,-6.614,-9.058,-5.652,-1.736,-1.628,-2.461,3.041,2.48,3.623,0.807,8.681,2.441,6.562,2.281,-11.574,-7.246,-3.23,,-8.138,9.843,12.165,14.881,2.717,0.807,-6.944,-14.648,-16.404,-25.091,-38.856,-44.384,-41.182,-39.062,-40.69,-40.19,-42.579,-47.123,-49.819
Idaho,Blaine County,parks,13.828,43.952,20.025,11.713,16.205,21.627,40.32,43.586,18.01,30.038,24.37,46.879,45.817,14.093,53.563,22.083,42.762,33.627,55.368,41.171,1.716,66.517,37.734,65.498,60.075,54.21,32.681,-11.152,28.532,65.392,56.32,47.607,93.373,68.726,75.982,140.035,46.525,39.841,10.201,23.536,10.573,13.358,24.681
Idaho,Blaine County,residential,-0.359,3.443,-0.194,-0.295,-0.349,-1.048,-1.315,-0.845,-2.348,-0.788,-1.199,-1.304,-1.677,-1.526,-1.616,-2.618,-1.101,-1.005,-1.314,-1.291,-0.771,-1.094,-2.512,-1.353,-1.029,-0.992,-0.29,2.627,2.705,1.483,7.031,8.846,9.529,10.415,6.671,5.221,9.141,13.203,13.86,16.88,17.913,11.751,9.81
Idaho,Blaine County,retail/recreation,22.36,13.138,8.681,1.667,4.921,0.683,1.958,8.726,3.285,4.34,4.167,7.792,9.904,14.098,35.995,18.3,16.493,20.833,18.865,3.757,1.175,3.818,8.446,8.247,-1.667,-1.23,-7.172,-20.363,-35.995,-19.238,-36.024,-48.75,-51.263,-74.112,-83.412,-80.17,-73.198,-76.823,-76.667,-79.56,-81.967,-83.803,-86.169
Idaho,Blaine County,transitstations,0.163,-0.263,8.921,7.355,7.366,6.721,8.681,9.147,4.348,9.32,6.967,9.863,9.503,11.141,16.007,2.898,7.19,7.355,12.734,7.648,11.141,13.557,4.611,11.317,6.064,6.742,2.202,-2.026,1.96,-2.108,-2.397,-6.064,-9.238,-16.108,-10.418,-11.434,-19.762,-14.247,-19.354,-26.467,-32.796,-28.648,-33.974
Idaho,Blaine County,workplace,4.735,-27.312,4.817,2.943,1.776,1.86,,-1.578,3.811,,1.177,1.184,-3.72,-6.51,3.157,3.176,2.408,2.354,-1.184,-0.62,-5.208,-7.891,1.27,0.602,-1.766,-2.367,-13.021,-11.719,-17.361,-22.866,-34.923,-40.607,-43.205,-61.384,-59.896,-63.131,-63.516,-66.835,-66.502,-68.655,-70.064,-61.198,-64.71
Idaho,Bonner County,grocery/pharmacy,-8.865,-4.252,4.209,1.021,4.125,-7.684,-1.965,-18.839,2.126,-7.365,-1.021,14.439,-2.561,-5.896,-4.433,6.378,,8.17,6.188,,-15.723,-21.055,,-2.104,-7.149,17.533,11.1,-12.775,-1.108,39.328,11.574,7.149,23.205,3.415,-10.81,-9.973,-8.503,-12.626,-11.234,-13.408,-33.299,-33.412,-35.461
Idaho,Bonner County,parks,13.828,43.952,20.025,11.713,16.205,21.627,40.32,43.586,18.01,30.038,24.37,46.879,45.817,14.093,53.563,22.083,42.762,33.627,55.368,41.171,1.716,66.517,37.734,65.498,60.075,54.21,32.681,-11.152,28.532,65.392,56.32,47.607,93.373,68.726,75.982,140.035,46.525,39.841,10.201,23.536,10.573,13.358,24.681
Idaho,Bonner County,residential,-0.359,3.443,-0.194,-0.295,-0.349,-1.048,-1.315,-0.845,-2.348,-0.788,-1.199,-1.304,-1.677,-1.526,-1.616,-2.618,-1.101,-1.005,-1.314,-1.291,-0.771,-1.094,-2.512,-1.353,-1.029,-0.992,-0.29,2.627,2.705,1.483,7.031,8.846,9.529,10.415,6.671,5.221,9.141,13.203,13.86,16.88,17.913,11.751,9.81
Idaho,Bonner County,retail/recreation,23.281,13.706,8.186,7.935,8.028,3.94,11.074,10.561,5.904,6.549,12.41,8.983,10.401,9.517,21.841,7.802,14.121,17.293,6.881,9.613,12.978,17.041,6.326,12.484,14.445,9.748,-1.733,-16.092,14.881,16.658,0.205,-1.221,-12.041,-17.02,-17.303,-14.881,-19.61,-22.921,-22.99,-34.977,-40.343,-44.816,-41.283
Idaho,Bonner County,transitstations,0.163,-0.263,8.921,7.355,7.366,6.721,8.681,9.147,4.348,9.32,6.967,9.863,9.503,11.141,16.007,2.898,7.19,7.355,12.734,7.648,11.141,13.557,4.611,11.317,6.064,6.742,2.202,-2.026,1.96,-2.108,-2.397,-6.064,-9.238,-16.108,-10.418,-11.434,-19.762,-14.247,-19.354,-26.467,-32.796,-28.648,-33.974
Idaho,Bonner County,workplace,-1.532,-20.643,3.283,3.541,3.783,7.238,2.097,-0.766,6.352,2.985,4.131,3.783,3.776,2.796,,6.987,4.477,2.951,3.201,-1.259,3.496,-3.83,5.399,2.388,2.656,1.164,0.944,-6.991,-5.362,-1.27,-11.043,-13.574,-21.823,-21.085,-20.973,-29.105,-25.089,-28.056,-31.28,-36.08,-36.82,-31.46,-39.828
Idaho,Canyon County,grocery/pharmacy,2.203,5.741,3.131,2.561,3.114,4.863,10.076,7.674,7.931,8.935,10.846,9.786,9.398,13.544,18.615,12.766,18.252,15.139,14.902,11.37,12.497,17.703,14.201,16.114,14.763,22.39,36.935,38.932,32.975,36.862,28.485,22.144,19.276,19.387,12.759,5.319,6.345,4.888,9.189,-7.636,-9.201,-12.039,-15.88
Idaho,Canyon County,parks,11.161,34.247,33.784,18.229,-7.44,9.47,49.119,86.806,27.112,42.23,42.969,57.044,38.931,2.541,62.004,18.55,59.122,52.083,62.004,45.244,7.622,83.085,49.943,98.536,84.635,58.284,21.044,14.397,70.685,65.639,60.529,49.479,106.647,67.34,118.564,179.812,58.505,35.191,22.135,12.401,9.47,27.947,35.962
Idaho,Canyon County,residential,-0.671,4.957,-0.835,-0.689,-0.828,-1.407,-1.241,-1.075,-1.816,-1.547,-1.926,-1.826,-2.266,-2.014,-1.921,-2.132,-1.744,-1.642,-1.973,-1.862,-1.306,-1.262,-1.926,-2.312,-1.916,-2.037,-1.341,1.414,1.869,1.69,6.623,8.002,8.338,9.563,5.578,4.401,10.071,12.463,12.476,16.324,18.164,11.589,9.832
Idaho,Canyon County,retail/recreation,9.249,6.888,-0.413,2.862,6.177,3.718,6.419,11.163,10.205,8.892,14.15,12.866,14.243,16.712,24.559,6.224,15.307,12.115,14.072,6.663,14.212,15.309,4.17,11.084,10.843,9.281,7.194,-1.779,0.542,-0.663,-5.335,-7.695,-11.45,-19.023,-26.802,-23.442,-24.012,-22.485,-21.685,-38.479,-41.932,-46.779,-42.515
Idaho,Canyon County,transitstations,-1.225,-6.51,,10.87,4.34,16.276,13.147,22.059,3.72,8.152,9.058,13.889,8.952,21.238,18.382,-2.79,14.493,-1.812,8.681,5.697,11.125,22.059,-3.72,4.529,14.493,7.812,11.393,12.136,15.931,10.231,-5.435,-3.623,,-9.766,-3.034,1.225,0.93,-5.435,-8.152,-20.833,-27.669,-24.272,-15.931
Idaho,Canyon County,workplace,-0.561,-24.032,2.028,1.69,1.492,4.605,0.463,0.981,7.425,2.758,3.299,2.419,3.991,0.926,1.823,8.875,3.448,3.38,2.661,5.044,2.431,1.823,7.601,2.028,3.219,2.177,1.272,-0.116,-7.571,-2.548,-18.862,-23.819,-26.888,-27.105,-17.708,-26.357,-29.831,-35.899,-37.659,-43.739,-43.333,-29.977,-38.274
Idaho,Cassia County,grocery/pharmacy,5.388,-1.437,2.815,5.029,17.361,1.24,-1.24,17.96,-2.874,2.111,7.902,10.851,14.881,3.1,20.654,14.368,6.334,7.184,16.638,14.881,-1.24,27.838,8.621,5.631,14.368,20.255,36.582,23.562,43.103,40.23,22.523,31.609,30.382,16.121,3.1,15.266,1.437,0.704,4.31,-10.851,-17.361,-22.321,-10.776
Idaho,Cassia County,parks,13.828,43.952,20.025,11.713,16.205,21.627,40.32,43.586,18.01,30.038,24.37,46.879,45.817,14.093,53.563,22.083,42.762,33.627,55.368,41.171,1.716,66.517,37.734,65.498,60.075,54.21,32.681,-11.152,28.532,65.392,56.32,47.607,93.373,68.726,75.982,140.035,46.525,39.841,10.201,23.536,10.573,13.358,24.681
Idaho,Cassia County,residential,-0.359,3.443,-0.194,-0.295,-0.349,-1.048,-1.315,-0.845,-2.348,-0.788,-1.199,-1.304,-1.677,-1.526,-1.616,-2.618,-1.101,-1.005,-1.314,-1.291,-0.771,-1.094,-2.512,-1.353,-1.029,-0.992,-0.29,2.627,2.705,1.483,7.031,8.846,9.529,10.415,6.671,5.221,9.141,13.203,13.86,16.88,17.913,11.751,9.81
Idaho,Cassia County,retail/recreation,,-8.878,-2.604,2.193,11.936,6.659,20.161,22.786,0.592,-0.521,15.351,23.872,16.648,14.001,23.872,10.062,3.646,13.706,21.159,23.307,19.041,46.658,13.021,6.771,14.254,21.701,23.782,19.041,37.977,18.939,1.042,-6.579,0.543,5.708,8.961,9.766,-17.164,-25.0,-13.432,-36.35,-31.393,-34.162,-7.595
Idaho,Cassia County,transitstations,0.163,-0.263,8.921,7.355,7.366,6.721,8.681,9.147,4.348,9.32,6.967,9.863,9.503,11.141,16.007,2.898,7.19,7.355,12.734,7.648,11.141,13.557,4.611,11.317,6.064,6.742,2.202,-2.026,1.96,-2.108,-2.397,-6.064,-9.238,-16.108,-10.418,-11.434,-19.762,-14.247,-19.354,-26.467,-32.796,-28.648,-33.974
Idaho,Cassia County,workplace,-4.006,-31.299,5.305,4.8,2.854,-13.955,1.085,-2.671,5.379,6.752,5.76,1.427,2.492,,5.342,6.847,6.752,5.76,-0.476,3.987,-1.085,8.013,6.358,6.269,6.72,4.756,-11.463,-1.085,-6.677,5.869,-13.021,-16.801,-24.258,-26.914,-10.851,-21.368,-28.854,-28.453,-30.722,-36.625,-32.895,-13.021,-26.709
Idaho,Elmore County,grocery/pharmacy,7.365,-6.453,2.717,0.922,-5.123,2.35,6.127,15.783,6.453,4.529,5.531,1.708,13.315,2.626,28.409,7.375,10.87,23.046,8.538,7.049,17.507,26.305,10.14,20.833,20.28,17.077,39.16,42.892,58.923,49.779,38.949,30.42,11.1,23.496,21.884,21.044,6.453,19.022,31.342,,-5.482,-2.626,-9.47
Idaho,Elmore County,parks,13.828,43.952,20.025,11.713,16.205,21.627,40.32,43.586,18.01,30.038,24.37,46.879,45.817,14.093,53.563,22.083,42.762,33.627,55.368,41.171,1.716,66.517,37.734,65.498,60.075,54.21,32.681,-11.152,28.532,65.392,56.32,47.607,93.373,68.726,75.982,140.035,46.525,39.841,10.201,23.536,10.573,13.358,24.681
Idaho,Elmore County,residential,-0.359,3.443,-0.194,-0.295,-0.349,-1.048,-1.315,-0.845,-2.348,-0.788,-1.199,-1.304,-1.677,-1.526,-1.616,-2.618,-1.101,-1.005,-1.314,-1.291,-0.771,-1.094,-2.512,-1.353,-1.029,-0.992,-0.29,2.627,2.705,1.483,7.031,8.846,9.529,10.415,6.671,5.221,9.141,13.203,13.86,16.88,17.913,11.751,9.81
Idaho,Elmore County,retail/recreation,6.384,4.487,5.597,5.193,3.174,-1.631,11.34,15.457,5.769,7.463,12.83,10.099,9.787,14.504,28.898,12.5,19.59,12.219,11.831,10.487,12.131,21.505,8.333,18.346,10.386,17.313,10.487,16.086,13.441,7.692,4.664,-2.138,-5.771,-13.05,-0.791,-5.376,-10.897,-10.883,-11.303,-39.531,-41.713,-27.954,-35.954
Idaho,Elmore County,transitstations,10.417,7.911,10.653,15.746,2.148,5.952,18.116,23.438,18.46,18.939,9.69,8.591,7.937,18.116,36.458,17.141,-3.551,13.324,17.182,24.802,12.455,39.062,19.778,17.756,21.802,17.182,1.984,3.397,7.812,10.549,15.388,8.479,-1.074,-10.913,1.132,3.906,3.956,-3.551,10.901,-15.034,-21.825,-18.116,-26.042
Idaho,Elmore County,workplace,,-37.534,-0.375,0.376,1.472,-4.292,-7.149,1.319,9.7,2.248,3.384,5.521,1.951,-5.106,13.186,15.604,4.122,4.513,1.84,2.731,-8.17,6.593,13.495,2.998,3.008,-0.368,1.561,2.042,2.637,3.374,-9.368,-14.29,-17.668,-16.386,-7.149,-10.549,-11.387,-22.857,-26.7,-32.391,-33.942,-20.425,-30.327
Idaho,Franklin County,grocery/pharmacy,8.17,34.722,32.328,19.914,22.096,27.056,22.602,26.552,22.096,28.736,30.637,34.722,36.526,27.516,10.212,36.301,64.655,35.233,34.722,40.584,18.671,26.552,37.879,44.899,39.828,69.444,82.522,-38.325,12.255,-34.722,-17.96,-42.892,-36.301,-33.82,-34.395,12.255,-37.879,-43.103,-38.297,-42.614,-39.232,-50.118,-4.085
Idaho,Franklin County,parks,13.828,43.952,20.025,11.713,16.205,21.627,40.32,43.586,18.01,30.038,24.37,46.879,45.817,14.093,53.563,22.083,42.762,33.627,55.368,41.171,1.716,66.517,37.734,65.498,60.075,54.21,32.681,-11.152,28.532,65.392,56.32,47.607,93.373,68.726,75.982,140.035,46.525,39.841,10.201,23.536,10.573,13.358,24.681
Idaho,Franklin County,residential,-0.359,3.443,-0.194,-0.295,-0.349,-1.048,-1.315,-0.845,-2.348,-0.788,-1.199,-1.304,-1.677,-1.526,-1.616,-2.618,-1.101,-1.005,-1.314,-1.291,-0.771,-1.094,-2.512,-1.353,-1.029,-0.992,-0.29,2.627,2.705,1.483,7.031,8.846,9.529,10.415,6.671,5.221,9.141,13.203,13.86,16.88,17.913,11.751,9.81
Idaho,Franklin County,retail/recreation,11.157,10.023,0.776,2.205,4.625,3.599,6.091,12.499,4.834,6.32,9.381,9.574,9.833,9.563,21.343,8.873,10.629,9.035,10.254,7.31,8.295,16.619,6.183,8.967,7.965,9.265,5.582,-5.532,1.788,1.79,-7.089,-11.676,-14.633,-20.866,-29.009,-21.848,-23.609,-26.0,-26.957,-39.908,-43.239,-47.438,-41.772
Idaho,Franklin County,transitstations,0.163,-0.263,8.921,7.355,7.366,6.721,8.681,9.147,4.348,9.32,6.967,9.863,9.503,11.141,16.007,2.898,7.19,7.355,12.734,7.648,11.141,13.557,4.611,11.317,6.064,6.742,2.202,-2.026,1.96,-2.108,-2.397,-6.064,-9.238,-16.108,-10.418,-11.434,-19.762,-14.247,-19.354,-26.467,-32.796,-28.648,-33.974
Idaho,Franklin County,workplace,-0.712,-25.351,1.011,2.304,1.651,3.146,2.443,2.285,8.613,2.366,3.373,2.516,0.899,2.597,3.746,8.844,2.81,3.596,2.183,2.21,1.793,2.66,8.71,2.144,3.217,1.408,0.012,-0.866,-8.428,-4.178,-18.783,-23.278,-26.588,-27.715,-17.533,-26.782,-29.712,-36.311,-37.717,-43.834,-43.492,-30.829,-37.87
Idaho,Gem County,grocery/pharmacy,13.736,-2.976,1.021,2.445,2.894,21.619,24.568,14.881,2.976,6.127,3.423,8.681,19.654,15.723,21.749,0.992,26.552,10.27,11.574,21.619,17.689,28.617,9.921,19.404,9.292,16.397,53.066,47.17,43.498,25.794,28.595,16.138,12.539,23.585,16.706,18.315,-9.921,13.276,9.292,-8.681,-0.983,0.983,-26.328
