state,county,date,grocery/pharmacy,parks,residential,retail/recreation,transitstations,workplace
West Virginia,Overall,2020-02-23,3.909,50.062,-0.894,8.36,8.65,3.375
West Virginia,Overall,2020-02-24,-0.522,3.785,1.237,3.633,3.73,2.244
West Virginia,Overall,2020-02-25,1.626,9.759,-0.482,9.613,2.877,2.174
West Virginia,Overall,2020-02-26,2.71,7.382,-1.003,13.642,4.893,1.955
West Virginia,Overall,2020-02-27,-2.803,-8.461,2.388,4.781,3.295,-3.32
West Virginia,Overall,2020-02-28,0.189,-2.648,1.067,8.118,2.815,-0.719
West Virginia,Overall,2020-02-29,3.227,4.593,-0.664,12.993,6.969,1.819
West Virginia,Overall,2020-03-01,13.202,40.009,-1.807,21.84,17.561,3.645
West Virginia,Overall,2020-03-02,4.309,0.946,0.656,11.648,4.712,2.192
West Virginia,Overall,2020-03-03,12.147,9.368,-1.349,19.69,5.946,2.579
West Virginia,Overall,2020-03-04,5.998,26.498,-1.312,15.793,8.657,1.972
West Virginia,Overall,2020-03-05,7.571,22.035,-0.902,13.385,7.688,2.565
West Virginia,Overall,2020-03-06,-4.544,-0.165,1.734,0.596,4.927,0.351
West Virginia,Overall,2020-03-07,2.84,28.108,-0.647,12.117,13.706,2.531
West Virginia,Overall,2020-03-08,11.364,89.456,-1.871,18.077,25.162,3.375
West Virginia,Overall,2020-03-09,7.166,48.643,0.271,12.726,7.264,0.103
West Virginia,Overall,2020-03-10,4.738,6.636,0.07,10.859,3.644,0.017
West Virginia,Overall,2020-03-11,5.487,22.334,-0.395,10.369,7.152,-0.249
West Virginia,Overall,2020-03-12,17.239,38.428,-0.499,11.735,7.688,0.017
West Virginia,Overall,2020-03-13,18.612,22.176,1.051,6.652,6.335,-2.579
West Virginia,Overall,2020-03-14,12.758,23.148,1.698,-0.195,4.878,-1.898
West Virginia,Overall,2020-03-15,10.898,8.002,2.499,-3.239,12.581,-4.95
West Virginia,Overall,2020-03-16,15.943,4.164,5.409,-0.835,1.178,-12.948
West Virginia,Overall,2020-03-17,14.26,7.417,5.58,-4.642,-2.11,-15.929
West Virginia,Overall,2020-03-18,9.775,15.899,7.414,-17.979,-3.576,-20.748
West Virginia,Overall,2020-03-19,9.558,8.638,9.202,-22.212,-9.701,-22.651
West Virginia,Overall,2020-03-20,1.022,14.067,11.769,-30.318,-19.004,-26.391
West Virginia,Overall,2020-03-21,5.142,0.551,8.643,-35.308,-16.726,-21.907
West Virginia,Overall,2020-03-22,-10.018,32.623,7.608,-39.891,-17.561,-26.865
West Virginia,Overall,2020-03-23,-4.808,-21.956,13.936,-33.746,-25.522,-33.295
West Virginia,Overall,2020-03-24,-11.009,5.27,13.129,-35.631,-23.017,-37.066
West Virginia,Overall,2020-03-25,-25.414,-14.953,16.232,-46.164,-27.102,-41.976
West Virginia,Overall,2020-03-26,-17.769,26.265,15.044,-39.954,-28.006,-41.076
West Virginia,Overall,2020-03-27,-23.479,2.648,17.741,-43.502,-35.721,-41.008
West Virginia,Overall,2020-03-28,-17.276,59.891,9.486,-41.965,-31.826,-29.618
West Virginia,Overall,2020-03-29,-16.127,52.319,7.971,-37.6,-31.453,-32.625
West Virginia,Overall,2020-03-30,-14.582,9.653,14.673,-34.449,-29.056,-41.054
West Virginia,Overall,2020-03-31,-15.329,-14.248,14.836,-36.62,-27.621,-42.073
West Virginia,Overall,2020-04-01,-10.508,-14.385,15.275,-34.299,-26.16,-42.754
West Virginia,Overall,2020-04-02,-10.375,-1.763,15.777,-35.519,-30.751,-42.35
West Virginia,Overall,2020-04-03,-10.168,7.613,16.672,-35.495,-35.721,-41.885
West Virginia,Overall,2020-04-04,-6.691,45.929,9.252,-39.824,-34.382,-29.895
West Virginia,Overall,2020-04-05,-8.206,28.109,8.482,-39.789,-36.433,-33.435
