state,county,date,grocery/pharmacy,parks,residential,retail/recreation,transitstations,workplace
BZ,Overall,2020-02-23,1.499,18.372,-1.299,4.565,17.987,0.991
BZ,Overall,2020-02-24,-1.184,3.394,0.814,2.538,4.693,1.386
BZ,Overall,2020-02-25,0.245,8.754,0.129,1.098,9.768,2.373
BZ,Overall,2020-02-26,-0.501,-0.506,0.273,1.184,6.512,3.318
BZ,Overall,2020-02-27,5.27,-2.119,1.49,0.456,8.275,-0.112
BZ,Overall,2020-02-28,3.223,7.521,-0.58,7.861,9.008,1.526
BZ,Overall,2020-02-29,6.884,27.59,-1.534,6.457,19.469,4.831
BZ,Overall,2020-03-01,3.298,2.756,-0.989,3.976,15.588,
BZ,Overall,2020-03-02,1.42,11.879,0.398,7.741,8.996,2.194
BZ,Overall,2020-03-03,-0.49,1.641,0.185,0.854,4.07,2.26
BZ,Overall,2020-03-04,1.252,9.608,0.52,0.71,8.954,4.348
BZ,Overall,2020-03-05,7.277,16.952,-0.306,4.333,11.585,2.135
BZ,Overall,2020-03-06,2.149,20.213,-0.186,0.393,4.504,-0.822
BZ,Overall,2020-03-07,2.92,25.81,-0.934,-1.349,9.933,-1.317
BZ,Overall,2020-03-08,4.197,-1.837,-0.155,2.503,1.799,-3.635
BZ,Overall,2020-03-09,-24.617,9.617,12.289,-20.939,-25.813,-62.246
BZ,Overall,2020-03-10,6.61,3.283,-1.077,1.22,9.361,2.938
BZ,Overall,2020-03-11,6.258,9.608,0.452,,4.884,3.662
BZ,Overall,2020-03-12,24.592,14.833,0.202,3.079,7.034,1.011
BZ,Overall,2020-03-13,26.858,11.282,-0.763,4.52,2.772,3.169
BZ,Overall,2020-03-14,21.902,9.79,0.038,2.506,7.549,3.952
BZ,Overall,2020-03-15,5.396,2.296,0.903,-4.712,-1.799,-0.661
BZ,Overall,2020-03-16,9.231,-5.091,1.474,-3.299,-6.258,0.693
BZ,Overall,2020-03-17,7.834,-10.395,2.358,-8.903,-8.14,-1.017
BZ,Overall,2020-03-18,6.508,-18.71,3.476,-9.941,-11.396,-0.343
BZ,Overall,2020-03-19,16.813,-3.179,3.24,-9.807,-11.585,-3.708
BZ,Overall,2020-03-20,31.37,-5.641,2.532,-7.075,-12.472,-3.052
BZ,Overall,2020-03-21,23.571,-3.115,4.833,-13.588,-10.728,-7.465
BZ,Overall,2020-03-22,-13.49,-24.802,6.843,-38.43,-26.98,-17.514
BZ,Overall,2020-03-23,15.149,-22.061,10.676,-21.7,-28.942,-30.026
BZ,Overall,2020-03-24,-16.157,-33.375,16.706,-42.074,-54.54,-42.604
BZ,Overall,2020-03-25,-11.014,-39.443,18.063,-44.382,-59.831,-45.199
BZ,Overall,2020-03-26,-36.888,-38.143,20.239,-53.712,-62.061,-48.658
BZ,Overall,2020-03-27,-33.948,-33.375,21.307,-53.452,-64.094,-46.248
BZ,Overall,2020-03-28,-40.467,-35.6,16.515,-57.435,-65.161,-42.377
BZ,Overall,2020-03-29,-48.863,-37.662,12.842,-62.873,-67.749,-41.636
BZ,Overall,2020-03-30,-28.878,-36.203,19.562,-47.334,-62.187,-50.005
BZ,Overall,2020-03-31,-19.829,-36.111,18.23,-42.928,-59.831,-50.402
BZ,Overall,2020-04-01,-20.025,-37.926,18.544,-45.565,-61.052,-52.637
BZ,Overall,2020-04-02,-50.188,-52.446,25.962,-66.598,-75.301,-63.604
BZ,Overall,2020-04-03,-46.625,-55.468,28.23,-68.289,-75.18,-62.211
BZ,Overall,2020-04-04,-50.897,-56.515,22.313,-73.721,-78.272,-57.308
BZ,Overall,2020-04-05,-64.152,-63.382,,-76.124,-82.138,-56.837
