state,county,date,grocery/pharmacy,parks,residential,retail/recreation,transitstations,workplace
Indiana,Overall,2020-02-23,6.239,83.494,-1.456,9.066,7.513,3.483
Indiana,Overall,2020-02-24,-1.579,-8.265,1.043,0.608,0.633,2.039
Indiana,Overall,2020-02-25,2.209,-4.194,0.191,2.372,2.67,1.699
Indiana,Overall,2020-02-26,-2.914,-7.414,1.843,0.532,1.771,-1.4
Indiana,Overall,2020-02-27,2.962,0.145,0.953,6.807,5.83,-0.744
Indiana,Overall,2020-02-28,1.592,7.645,-0.793,7.679,8.586,1.024
Indiana,Overall,2020-02-29,11.038,27.228,-2.719,17.959,15.57,2.01
Indiana,Overall,2020-03-01,12.422,88.159,-2.276,17.605,14.171,3.893
Indiana,Overall,2020-03-02,4.302,6.525,0.177,9.2,4.844,2.069
Indiana,Overall,2020-03-03,10.652,34.849,-1.442,13.803,8.89,2.098
Indiana,Overall,2020-03-04,7.167,41.914,-1.032,13.786,7.727,1.802
Indiana,Overall,2020-03-05,9.097,42.797,-1.056,12.05,7.843,1.921
Indiana,Overall,2020-03-06,-0.342,9.877,-0.252,4.954,7.683,1.473
Indiana,Overall,2020-03-07,12.94,85.572,-3.031,18.326,19.103,4.753
Indiana,Overall,2020-03-08,12.149,160.903,-2.273,15.313,16.806,3.009
Indiana,Overall,2020-03-09,6.475,24.506,0.374,7.121,5.202,0.924
Indiana,Overall,2020-03-10,6.388,14.565,0.308,5.966,5.229,0.003
Indiana,Overall,2020-03-11,9.325,22.389,0.216,8.21,6.117,-0.019
Indiana,Overall,2020-03-12,23.382,31.825,0.577,7.278,4.627,-0.924
Indiana,Overall,2020-03-13,27.318,37.006,1.18,5.083,4.595,-4.358
Indiana,Overall,2020-03-14,15.114,0.738,3.02,-7.404,1.112,-1.001
Indiana,Overall,2020-03-15,11.871,36.643,2.482,-7.045,0.142,-4.945
Indiana,Overall,2020-03-16,26.396,4.278,6.217,-5.286,-3.0,-14.506
Indiana,Overall,2020-03-17,16.316,52.388,8.285,-20.914,-2.642,-20.9
Indiana,Overall,2020-03-18,7.044,-10.497,11.635,-27.162,-8.88,-24.774
Indiana,Overall,2020-03-19,14.53,-4.214,12.8,-27.692,-12.705,-27.156
Indiana,Overall,2020-03-20,8.77,18.604,13.963,-30.235,-14.637,-29.598
Indiana,Overall,2020-03-21,2.581,9.791,9.855,-38.826,-13.411,-22.521
Indiana,Overall,2020-03-22,-15.425,-4.935,9.413,-45.604,-26.491,-29.324
Indiana,Overall,2020-03-23,2.824,6.163,14.397,-29.742,-20.834,-34.591
Indiana,Overall,2020-03-24,-2.328,11.057,16.08,-33.765,-19.293,-39.03
Indiana,Overall,2020-03-25,-19.821,60.78,19.015,-44.806,-23.046,-45.031
Indiana,Overall,2020-03-26,-18.206,37.565,19.836,-43.441,-26.848,-45.797
Indiana,Overall,2020-03-27,-19.897,13.869,21.714,-44.675,-32.162,-46.214
Indiana,Overall,2020-03-28,-20.809,28.703,13.358,-48.781,-30.649,-34.545
Indiana,Overall,2020-03-29,-24.64,24.068,10.955,-48.206,-33.79,-36.142
Indiana,Overall,2020-03-30,-16.819,24.868,18.119,-37.969,-27.247,-45.54
Indiana,Overall,2020-03-31,-16.706,-0.153,19.284,-40.681,-24.797,-47.185
Indiana,Overall,2020-04-01,-11.796,24.15,19.325,-36.802,-23.958,-47.617
Indiana,Overall,2020-04-02,-8.807,80.144,19.111,-35.828,-25.724,-47.91
Indiana,Overall,2020-04-03,-9.093,89.368,19.636,-35.611,-27.366,-48.006
Indiana,Overall,2020-04-04,-13.378,40.841,12.959,-45.397,-30.551,-35.736
Indiana,Overall,2020-04-05,-17.395,54.153,10.222,-45.514,-35.143,-37.3
