state,county,date,grocery/pharmacy,parks,residential,retail/recreation,transitstations,workplace
IE,Overall,2020-02-23,-2.301,0.693,-0.176,-2.808,1.286,0.421
IE,Overall,2020-02-24,2.811,2.506,0.302,0.625,0.851,0.844
IE,Overall,2020-02-25,2.823,5.821,0.063,-1.89,0.387,3.119
IE,Overall,2020-02-26,0.381,9.403,0.193,-1.172,1.29,1.755
IE,Overall,2020-02-27,3.247,14.605,-0.11,3.762,3.788,1.854
IE,Overall,2020-02-28,5.413,-0.069,-0.1,2.521,4.186,0.658
IE,Overall,2020-02-29,-3.109,-27.619,3.191,-11.666,-9.279,-2.659
IE,Overall,2020-03-01,2.506,-5.173,0.283,2.884,1.967,2.122
IE,Overall,2020-03-02,4.376,12.444,0.042,3.823,1.473,1.464
IE,Overall,2020-03-03,5.122,28.882,-0.867,8.185,2.033,2.529
IE,Overall,2020-03-04,4.475,25.425,-0.018,4.725,0.679,1.226
IE,Overall,2020-03-05,4.353,14.529,0.051,4.502,0.245,1.948
IE,Overall,2020-03-06,6.55,9.665,0.023,3.075,-0.147,0.827
IE,Overall,2020-03-07,3.4,-0.831,0.713,-2.99,-3.751,0.045
IE,Overall,2020-03-08,1.982,-0.124,0.365,0.191,-3.668,0.47
IE,Overall,2020-03-09,2.935,-13.016,1.692,-2.804,-6.069,-0.146
IE,Overall,2020-03-10,10.832,14.687,0.717,2.51,-3.042,1.203
IE,Overall,2020-03-11,10.912,-3.471,2.249,-2.733,-8.923,-1.256
IE,Overall,2020-03-12,33.439,-13.099,3.156,-2.913,-14.248,-3.164
IE,Overall,2020-03-13,9.661,0.929,11.647,-18.892,-30.148,-25.562
IE,Overall,2020-03-14,2.214,-15.123,9.257,-31.863,-33.627,-11.542
IE,Overall,2020-03-15,7.323,20.223,8.536,-35.624,-34.907,-15.975
IE,Overall,2020-03-16,14.719,20.975,17.576,-25.84,-45.508,-48.566
IE,Overall,2020-03-17,-23.959,66.72,28.841,-58.901,-62.251,-80.364
IE,Overall,2020-03-18,-9.103,14.286,20.092,-46.258,-51.584,-46.288
IE,Overall,2020-03-19,-10.208,29.096,21.901,-47.781,-53.876,-48.175
IE,Overall,2020-03-20,-9.303,15.822,23.528,-52.775,-57.468,-48.44
IE,Overall,2020-03-21,-2.942,-11.584,16.828,-58.855,-58.979,-38.905
IE,Overall,2020-03-22,-10.774,38.664,12.594,-58.744,-53.362,-39.499
IE,Overall,2020-03-23,-17.881,7.255,21.431,-49.318,-60.997,-51.189
IE,Overall,2020-03-24,-8.695,10.389,22.208,-50.632,-61.588,-52.922
IE,Overall,2020-03-25,-17.555,12.793,24.193,-60.087,-63.183,-55.364
IE,Overall,2020-03-26,-16.496,14.755,25.437,-60.51,-64.775,-56.378
IE,Overall,2020-03-27,-13.304,-0.413,26.278,-62.773,-66.244,-56.05
IE,Overall,2020-03-28,-22.492,-59.313,21.467,-79.631,-75.431,-52.631
IE,Overall,2020-03-29,-37.483,-59.53,19.49,-83.254,-78.077,-52.055
IE,Overall,2020-03-30,-29.012,-37.376,29.528,-73.11,-75.783,-67.869
IE,Overall,2020-03-31,-25.07,-22.031,29.885,-73.361,-74.24,-69.926
IE,Overall,2020-04-01,-25.843,-31.075,31.315,-74.613,-75.08,-70.272
IE,Overall,2020-04-02,-23.256,-37.98,32.83,-73.745,-76.562,-70.181
IE,Overall,2020-04-03,-22.406,-34.808,33.73,-73.73,-76.048,-69.245
IE,Overall,2020-04-04,-22.983,-46.416,22.012,-77.916,-73.605,-55.573
IE,Overall,2020-04-05,-33.138,-59.53,19.957,-80.958,-78.644,-51.99
