state,county,category,2020-02-23,2020-02-24,2020-02-25,2020-02-26,2020-02-27,2020-02-28,2020-02-29,2020-03-01,2020-03-02,2020-03-03,2020-03-04,2020-03-05,2020-03-06,2020-03-07,2020-03-08,2020-03-09,2020-03-10,2020-03-11,2020-03-12,2020-03-13,2020-03-14,2020-03-15,2020-03-16,2020-03-17,2020-03-18,2020-03-19,2020-03-20,2020-03-21,2020-03-22,2020-03-23,2020-03-24,2020-03-25,2020-03-26,2020-03-27,2020-03-28,2020-03-29,2020-03-30,2020-03-31,2020-04-01,2020-04-02,2020-04-03,2020-04-04,2020-04-05
UY,Artigas Department,grocery/pharmacy,62.767,41.853,-6.51,11.984,1.751,11.285,20.833,17.361,13.951,16.741,17.515,7.878,18.229,20.833,12.019,6.51,7.44,-1.844,-7.003,5.208,2.604,-20.032,-3.72,-15.811,-18.437,-14.881,-14.757,-32.986,-50.748,-30.692,-44.643,-42.404,-45.518,-37.326,-37.326,-46.741,-33.482,-31.622,-24.889,-18.382,-8.681,-6.076,-28.045
UY,Artigas Department,parks,101.918,153.62,70.755,26.573,4.65,9.71,,-5.246,15.783,13.758,21.258,-0.93,7.062,-4.63,8.993,8.418,6.879,10.629,-5.58,-0.883,-37.037,-57.704,-25.253,-41.274,-42.517,-53.013,-51.201,-61.728,-75.689,-57.87,-65.841,-59.524,-62.314,-61.794,-67.13,-74.191,-54.714,-58.962,-47.832,-45.573,-42.373,-56.327,-70.444
UY,Artigas Department,residential,2.338,5.526,4.79,-0.271,0.659,0.133,0.679,4.262,-0.344,-1.279,-1.719,-1.866,-2.895,0.756,2.787,-1.727,-2.116,-1.509,-1.344,-2.484,8.668,12.553,8.471,11.645,15.846,16.886,17.818,17.947,20.892,18.623,19.463,20.058,20.984,22.144,20.152,21.747,19.973,19.633,20.572,20.513,20.707,18.645,21.214
UY,Artigas Department,retail/recreation,101.852,50.113,13.46,11.029,-9.422,7.219,7.852,1.543,7.883,13.46,18.995,4.188,6.188,2.094,10.031,6.757,8.193,5.515,-8.899,-2.578,-26.173,-40.895,-23.649,-30.431,-32.475,-44.493,-44.864,-55.486,-66.358,-53.491,-55.595,-54.534,-58.626,-54.662,-54.439,-62.5,-50.113,-43.89,-39.828,-39.782,-34.55,-40.306,-57.099
UY,Artigas Department,transitstations,-6.322,-9.875,-14.072,-0.24,-0.797,-2.565,-5.699,-15.468,0.806,3.734,6.412,5.344,5.568,-4.319,-9.981,6.308,4.185,2.395,1.141,0.692,-32.531,-39.903,-27.061,-37.452,-47.096,-48.876,-46.384,-56.443,-68.533,-52.616,-56.485,-56.751,-58.26,-58.347,-64.054,-71.455,-57.114,-58.884,-59.773,-55.289,-51.665,-56.762,-68.195
UY,Artigas Department,workplace,12.897,-16.294,-25.164,13.021,13.369,17.55,3.668,-0.992,27.351,32.772,35.666,35.651,37.93,5.869,7.937,42.481,43.305,39.629,35.651,32.835,-4.401,-14.881,7.565,4.682,-6.227,-13.369,-15.851,-21.273,-27.778,-23.277,-26.919,-28.872,-29.523,-27.174,-24.208,-24.802,-23.859,-21.653,-26.042,-25.624,-19.814,-19.806,-21.825
UY,Canelones Department,grocery/pharmacy,-1.449,1.525,-8.628,-2.157,-8.062,-4.92,-5.288,-11.844,-1.48,4.024,5.369,-0.737,-1.388,-4.059,-5.198,-5.112,-5.901,-4.554,-4.469,1.766,-11.769,-15.465,-15.291,-22.979,-17.832,-25.339,-23.129,-35.343,-47.376,-31.524,-41.354,-36.863,-40.819,-39.993,-48.043,-51.082,-38.564,-37.822,-33.939,-24.187,-23.087,-31.395,-43.371
UY,Canelones Department,parks,-18.241,43.054,-12.603,-14.114,-2.433,-17.223,-20.267,-27.522,-19.36,-13.514,-13.96,-12.013,-19.479,-25.197,-32.882,-32.94,-26.118,-28.841,-25.852,-29.338,-66.097,-67.524,-51.578,-58.765,-67.961,-67.974,-60.695,-69.931,-79.125,-65.736,-66.509,-67.655,-65.237,-69.246,-80.248,-80.085,-67.181,-70.001,-70.109,-65.085,-62.12,-72.122,-82.005
UY,Canelones Department,residential,2.284,7.087,6.597,-0.42,0.415,-0.408,0.389,4.082,-0.599,-2.175,-2.335,-2.683,-3.889,0.132,2.301,-2.417,-3.106,-2.429,-2.52,-3.649,7.949,11.333,8.318,11.267,16.465,17.489,17.85,17.757,20.231,19.25,19.876,20.905,21.599,23.003,20.273,21.072,21.164,20.493,21.822,21.419,21.495,18.412,20.474
UY,Canelones Department,retail/recreation,-5.715,-3.393,-17.673,-4.03,-6.132,-1.721,-5.973,-16.671,-2.974,-2.269,1.439,-1.572,-2.203,-2.463,-6.464,-6.325,-7.961,-10.034,-11.164,-11.257,-34.64,-42.092,-32.167,-44.899,-52.104,-55.66,-52.703,-63.06,-75.396,-55.706,-60.382,-59.465,-62.068,-62.479,-70.512,-76.854,-57.926,-59.547,-60.781,-52.752,-50.672,-58.041,-72.282
UY,Canelones Department,transitstations,-18.443,2.884,-9.596,-8.077,-8.693,-6.776,-12.933,-25.541,-12.66,-8.864,-6.944,-10.286,-9.234,-17.205,-25.966,-14.7,-11.208,-12.681,-12.749,-15.545,-44.476,-50.536,-35.097,-41.242,-52.536,-53.822,-51.485,-62.968,-74.864,-57.886,-60.581,-59.934,-62.152,-61.65,-71.571,-78.201,-62.247,-63.218,-65.897,-62.442,-57.597,-65.192,-75.895
UY,Canelones Department,workplace,-1.814,-37.81,-37.857,3.665,3.997,7.226,2.936,-3.735,17.882,21.683,23.118,24.179,27.246,8.529,2.348,27.986,27.35,25.535,24.839,28.115,-0.559,-7.044,0.642,-9.956,-23.079,-26.934,-26.101,-25.447,-30.844,-33.118,-38.644,-40.349,-41.876,-39.408,-33.417,-32.766,-40.696,-43.052,-44.13,-44.321,-39.566,-30.551,-33.513
UY,Durazno Department,grocery/pharmacy,2.841,-6.25,-12.936,6.466,-5.274,1.27,24.038,12.311,21.528,13.617,20.115,9.23,12.068,8.681,13.258,8.333,4.766,10.776,,8.257,7.345,-0.947,-4.167,-19.744,-7.902,-23.075,-21.596,-23.371,-37.879,-25.0,-34.041,-40.23,-40.876,-39.38,-34.054,-40.72,-27.083,-29.956,-23.707,-15.823,-13.338,-14.69,-34.091
UY,Durazno Department,parks,6.083,18.727,19.248,-3.289,4.529,9.47,74.036,27.372,,9.058,-1.096,,2.841,18.939,2.281,-5.852,-5.661,-13.158,-9.058,-12.311,-36.157,-51.703,-26.919,-44.158,-53.728,-46.422,-52.083,-55.096,-70.712,-50.328,-56.612,-54.825,-55.48,-58.712,-68.871,-70.712,-53.839,-54.348,-57.018,-44.158,-47.348,-53.375,-69.191
UY,Durazno Department,residential,2.338,5.526,4.79,-0.271,0.659,0.133,0.679,4.262,-0.344,-1.279,-1.719,-1.866,-2.895,0.756,2.787,-1.727,-2.116,-1.509,-1.344,-2.484,8.668,12.553,8.471,11.645,15.846,16.886,17.818,17.947,20.892,18.623,19.463,20.058,20.984,22.144,20.152,21.747,19.973,19.633,20.572,20.513,20.707,18.645,21.214
UY,Durazno Department,retail/recreation,-8.013,-6.944,-10.965,0.734,12.832,16.188,41.956,9.793,23.438,22.713,14.671,23.4,22.523,42.679,-2.671,19.097,13.315,3.668,6.793,9.15,-11.574,-40.954,-10.417,-36.028,-44.014,-43.78,-42.23,-49.913,-73.006,-43.403,-52.475,-56.485,-54.348,-55.602,-59.317,-70.335,-39.062,-44.643,-46.948,-36.232,-30.968,-38.339,-67.664
UY,Durazno Department,transitstations,-6.322,-9.875,-14.072,-0.24,-0.797,-2.565,-5.699,-15.468,0.806,3.734,6.412,5.344,5.568,-4.319,-9.981,6.308,4.185,2.395,1.141,0.692,-32.531,-39.903,-27.061,-37.452,-47.096,-48.876,-46.384,-56.443,-68.533,-52.616,-56.485,-56.751,-58.26,-58.347,-64.054,-71.455,-57.114,-58.884,-59.773,-55.289,-51.665,-56.762,-68.195
