state,county,date,grocery/pharmacy,parks,residential,retail/recreation,transitstations,workplace
Nebraska,Adams County,2020-02-23,3.567,43.335,-1.321,13.17,7.397,8.381
Nebraska,Adams County,2020-02-24,2.637,24.361,-0.429,13.021,3.796,2.995
Nebraska,Adams County,2020-02-25,-10.684,10.085,0.745,-0.727,0.093,2.621
Nebraska,Adams County,2020-02-26,,15.117,-1.328,13.982,6.275,1.294
Nebraska,Adams County,2020-02-27,3.235,13.87,-0.449,12.019,7.407,0.983
Nebraska,Adams County,2020-02-28,1.689,33.245,-2.651,15.794,10.619,-0.683
Nebraska,Adams County,2020-02-29,13.723,85.703,-2.705,14.087,10.37,3.788
Nebraska,Adams County,2020-03-01,9.989,55.916,-2.121,20.833,9.481,8.381
Nebraska,Adams County,2020-03-02,5.934,28.259,-1.147,12.51,2.657,1.664
Nebraska,Adams County,2020-03-03,9.348,55.225,-1.231,11.386,1.393,2.948
Nebraska,Adams County,2020-03-04,4.473,58.498,-2.012,12.584,7.53,1.294
Nebraska,Adams County,2020-03-05,3.235,22.539,-0.536,7.345,7.585,-0.655
Nebraska,Adams County,2020-03-06,-0.563,50.937,-2.18,10.529,14.243,-11.27
Nebraska,Adams County,2020-03-07,14.346,84.543,-1.913,7.785,13.399,4.735
Nebraska,Adams County,2020-03-08,22.118,90.34,-2.002,18.678,14.586,2.395
Nebraska,Adams County,2020-03-09,2.637,-1.218,2.148,4.596,-0.854,0.333
Nebraska,Adams County,2020-03-10,14.022,28.813,1.479,12.112,4.087,
Nebraska,Adams County,2020-03-11,13.42,64.632,-0.091,10.254,8.426,0.97
Nebraska,Adams County,2020-03-12,26.527,33.592,1.587,16.026,7.585,-11.792
Nebraska,Adams County,2020-03-13,20.833,16.137,3.429,-3.384,1.601,-15.027
Nebraska,Adams County,2020-03-14,3.743,-24.865,6.522,-18.72,-9.912,-7.576
Nebraska,Adams County,2020-03-15,20.691,-19.92,3.81,-4.789,-5.001,4.789
Nebraska,Adams County,2020-03-16,36.92,8.283,6.515,-0.766,-4.271,-11.981
Nebraska,Adams County,2020-03-17,18.697,29.533,9.527,-11.386,-1.3,-16.051
Nebraska,Adams County,2020-03-18,14.059,17.089,11.153,-14.914,-7.709,-17.145
Nebraska,Adams County,2020-03-19,7.117,-14.954,15.41,-25.374,-21.685,-18.671
Nebraska,Adams County,2020-03-20,6.194,-14.97,15.755,-28.016,-17.867,-24.249
Nebraska,Adams County,2020-03-21,11.851,15.085,10.799,-30.397,-8.627,-7.576
Nebraska,Adams County,2020-03-22,-12.842,-3.67,9.24,-40.709,-21.254,-14.368
Nebraska,Adams County,2020-03-23,,28.746,13.491,-22.723,-17.368,-22.63
Nebraska,Adams County,2020-03-24,-6.01,69.151,15.093,-20.591,-14.211,-23.257
Nebraska,Adams County,2020-03-25,-8.308,77.559,14.434,-22.837,-12.908,-25.88
Nebraska,Adams County,2020-03-26,-11.322,37.493,16.461,-26.709,-15.081,-25.223
Nebraska,Adams County,2020-03-27,-16.329,16.914,17.024,-26.512,-18.626,-25.615
Nebraska,Adams County,2020-03-28,-13.099,-17.737,13.431,-37.811,-23.861,-17.992
Nebraska,Adams County,2020-03-29,-14.269,108.862,8.091,-25.144,-18.025,-19.157
Nebraska,Adams County,2020-03-30,-22.416,83.072,14.088,-27.446,-17.652,-26.291
Nebraska,Adams County,2020-03-31,-13.355,99.165,15.33,-18.895,-13.003,-27.843
Nebraska,Adams County,2020-04-01,-10.225,97.934,14.593,-23.77,-12.729,-29.438
Nebraska,Adams County,2020-04-02,-27.174,-2.384,19.013,-40.287,-22.399,-29.481
Nebraska,Adams County,2020-04-03,-5.631,-22.552,20.518,-34.409,-26.211,-34.495
Nebraska,Adams County,2020-04-04,-4.99,13.427,12.867,-41.889,-22.117,-23.674
Nebraska,Adams County,2020-04-05,-9.275,55.741,9.143,-38.554,-25.422,-27.538
Nebraska,Box Butte County,2020-02-23,8.828,43.335,-1.321,,7.397,5.1
Nebraska,Box Butte County,2020-02-24,-9.615,24.361,-0.429,-9.282,3.796,2.708
