state,county,date,grocery/pharmacy,parks,residential,retail/recreation,transitstations,workplace
IQ,Overall,2020-02-16,8.1,7.102,0.176,10.815,11.726,11.692
IQ,Overall,2020-02-17,8.468,10.859,-0.877,12.182,15.61,12.681
IQ,Overall,2020-02-18,12.0,13.205,-0.843,14.988,15.488,11.217
IQ,Overall,2020-02-19,9.971,8.031,-0.334,10.783,12.496,11.211
IQ,Overall,2020-02-20,6.094,6.887,0.934,8.588,10.928,8.874
IQ,Overall,2020-02-21,12.488,16.518,0.291,14.219,13.459,11.13
IQ,Overall,2020-02-22,9.753,10.491,0.17,10.853,17.236,13.089
IQ,Overall,2020-02-23,11.775,9.102,0.211,11.218,13.681,12.57
IQ,Overall,2020-02-24,9.736,10.859,-0.785,9.021,15.137,13.093
IQ,Overall,2020-02-25,5.337,-0.424,1.2,0.745,4.85,7.486
IQ,Overall,2020-02-26,15.923,7.855,0.584,7.868,11.871,7.165
IQ,Overall,2020-02-27,11.303,6.94,3.192,5.5,12.257,2.129
IQ,Overall,2020-02-28,14.314,9.546,1.2,6.938,10.505,12.616
IQ,Overall,2020-02-29,14.528,12.448,0.808,11.841,15.356,10.491
IQ,Overall,2020-03-01,12.667,2.951,2.281,7.061,6.014,5.013
IQ,Overall,2020-03-02,16.862,9.019,1.711,8.631,9.776,4.617
IQ,Overall,2020-03-03,17.262,10.418,1.657,11.4,4.85,2.661
IQ,Overall,2020-03-04,18.918,12.604,1.923,10.828,5.467,0.776
IQ,Overall,2020-03-05,10.111,5.757,4.328,0.292,1.181,-4.027
IQ,Overall,2020-03-06,9.17,6.918,1.107,-1.813,-4.103,8.654
IQ,Overall,2020-03-07,11.083,4.566,2.749,2.407,2.037,7.52
IQ,Overall,2020-03-08,12.739,4.951,4.2,3.989,-1.353,0.865
IQ,Overall,2020-03-09,11.303,5.828,3.842,-0.854,1.577,-1.248
IQ,Overall,2020-03-10,12.227,7.208,4.255,-1.368,0.156,-2.661
IQ,Overall,2020-03-11,12.852,2.697,4.756,-5.131,-3.28,-7.088
IQ,Overall,2020-03-12,5.549,-3.497,6.218,-14.234,-10.337,-6.822
IQ,Overall,2020-03-13,5.517,-11.798,4.028,-20.89,-16.578,5.754
IQ,Overall,2020-03-14,-10.811,-20.329,7.361,-27.661,-23.974,-8.454
IQ,Overall,2020-03-15,2.391,-15.054,9.688,-23.895,-23.453,-19.898
IQ,Overall,2020-03-16,-1.082,-15.767,9.144,-29.579,-19.394,-22.379
IQ,Overall,2020-03-17,-5.527,-18.172,9.477,-32.392,-31.446,-25.35
IQ,Overall,2020-03-18,-34.727,-38.514,15.99,-58.243,-55.295,-48.994
IQ,Overall,2020-03-19,-37.619,-42.073,19.408,-61.93,-57.151,-49.011
IQ,Overall,2020-03-20,-40.221,-45.692,13.888,-63.902,-58.762,-27.047
IQ,Overall,2020-03-21,-47.607,-44.681,16.762,-67.316,-61.893,-48.959
IQ,Overall,2020-03-22,-40.714,-48.362,19.998,-65.012,-64.044,-57.327
IQ,Overall,2020-03-23,-42.266,-45.338,19.217,-66.665,-62.756,-56.255
IQ,Overall,2020-03-24,-42.511,-45.55,20.072,-66.167,-61.639,-56.238
IQ,Overall,2020-03-25,-42.31,-46.897,20.417,-67.018,-61.387,-56.769
IQ,Overall,2020-03-26,-45.415,-49.659,22.95,-68.716,-61.729,-55.936
IQ,Overall,2020-03-27,-45.888,-50.786,16.741,-68.389,-61.224,-33.344
IQ,Overall,2020-03-28,-47.471,-49.682,18.569,-67.858,-62.363,-47.788
IQ,Overall,2020-03-29,-42.141,-47.562,21.232,-64.276,-61.188,-55.215
