state,county,date,grocery/pharmacy,parks,residential,retail/recreation,transitstations,workplace
BB,Christ Church,2020-02-16,2.796,,,1.319,-0.861,3.222
BB,Christ Church,2020-02-17,-3.109,,,-4.293,4.861,1.015
BB,Christ Church,2020-02-18,-4.96,,,-2.862,5.252,-1.384
BB,Christ Church,2020-02-19,-6.477,,,-3.751,,1.353
BB,Christ Church,2020-02-20,-1.586,,,4.444,9.957,-0.333
BB,Christ Church,2020-02-21,1.276,,,1.585,-0.643,0.676
BB,Christ Church,2020-02-22,1.245,,,7.948,-7.086,0.718
BB,Christ Church,2020-02-23,3.496,,,14.065,-4.304,1.074
BB,Christ Church,2020-02-24,2.073,,,6.01,-6.944,1.353
BB,Christ Church,2020-02-25,13.228,,,15.739,9.629,4.499
BB,Christ Church,2020-02-26,9.715,,,16.159,5.524,2.367
BB,Christ Church,2020-02-27,10.047,,,11.944,12.255,1.331
BB,Christ Church,2020-02-28,11.054,,,3.17,5.144,
BB,Christ Church,2020-02-29,6.225,,,7.739,-0.709,1.437
BB,Christ Church,2020-03-01,6.991,,,11.867,5.165,5.369
BB,Christ Church,2020-03-02,-0.518,,,-2.003,-0.694,3.382
BB,Christ Church,2020-03-03,6.614,,,4.579,2.626,5.883
BB,Christ Church,2020-03-04,3.778,,,4.328,-3.157,5.073
BB,Christ Church,2020-03-05,2.115,,,3.056,,0.333
BB,Christ Church,2020-03-06,6.803,,,2.491,-4.501,2.367
BB,Christ Church,2020-03-07,4.565,,,1.464,-10.629,-2.155
BB,Christ Church,2020-03-08,5.593,,,23.295,-5.165,5.369
BB,Christ Church,2020-03-09,-1.036,,,-7.44,-11.111,4.397
BB,Christ Church,2020-03-10,1.653,,,-2.003,-6.127,4.153
BB,Christ Church,2020-03-11,7.016,,,1.443,-10.259,3.382
BB,Christ Church,2020-03-12,11.104,,,1.389,-1.532,
BB,Christ Church,2020-03-13,16.582,,,-4.076,-13.503,-0.338
BB,Christ Church,2020-03-14,3.32,,,-6.066,-5.669,-0.718
BB,Christ Church,2020-03-15,1.398,,,-3.077,-8.609,1.074
BB,Christ Church,2020-03-16,6.219,,,-7.727,-1.389,0.676
BB,Christ Church,2020-03-17,20.944,,,-10.875,9.629,1.038
BB,Christ Church,2020-03-18,10.255,,,-15.582,-7.891,-11.499
BB,Christ Church,2020-03-19,6.345,,,-15.833,-29.105,-16.307
BB,Christ Church,2020-03-20,-6.803,,,-28.986,-22.505,-19.278
BB,Christ Church,2020-03-21,-5.81,,,-33.049,-21.258,-12.931
BB,Christ Church,2020-03-22,-21.672,,,-46.15,-35.296,-20.404
BB,Christ Church,2020-03-23,-9.847,,,-35.199,-43.056,-28.071
BB,Christ Church,2020-03-24,-11.574,,,-33.482,-39.391,-32.184
BB,Christ Church,2020-03-25,-14.033,,,-35.78,-51.294,-36.188
BB,Christ Church,2020-03-26,-15.863,,,-35.556,-55.913,-37.274
BB,Christ Church,2020-03-27,-20.408,,,-36.005,-56.584,-37.202
BB,Christ Church,2020-03-28,-40.671,,,-48.527,-73.696,-35.92
BB,Christ Church,2020-03-29,-59.424,,,-84.388,-86.949,-52.62
BB,Overall,2020-02-16,3.637,4.608,-0.105,4.326,,0.717
BB,Overall,2020-02-17,-5.422,-0.493,0.603,-3.848,4.018,1.062
BB,Overall,2020-02-18,-3.112,-4.86,1.021,-1.766,1.117,1.78
BB,Overall,2020-02-19,-4.787,-17.669,1.573,-6.803,-3.301,1.065
