state,county,date,grocery/pharmacy,parks,residential,retail/recreation,transitstations,workplace
PL,Greater Poland Voivodeship,2020-02-16,-16.27,1.364,0.56,10.439,4.575,-4.108
PL,Greater Poland Voivodeship,2020-02-17,4.494,11.416,-1.87,6.43,15.754,25.965
PL,Greater Poland Voivodeship,2020-02-18,-2.033,4.635,0.937,3.429,0.094,2.488
PL,Greater Poland Voivodeship,2020-02-19,1.008,3.795,0.49,5.191,-0.987,1.926
PL,Greater Poland Voivodeship,2020-02-20,1.671,28.984,-0.454,9.607,3.413,2.842
PL,Greater Poland Voivodeship,2020-02-21,-1.274,1.326,0.493,3.354,-0.955,3.291
PL,Greater Poland Voivodeship,2020-02-22,-0.754,25.751,0.145,13.281,6.212,2.739
PL,Greater Poland Voivodeship,2020-02-23,-27.969,-36.354,1.392,-4.469,1.76,-5.254
PL,Greater Poland Voivodeship,2020-02-24,5.335,2.594,-1.777,3.15,14.671,26.512
PL,Greater Poland Voivodeship,2020-02-25,0.484,6.438,0.849,3.248,2.628,3.001
PL,Greater Poland Voivodeship,2020-02-26,-0.794,7.459,0.711,-1.371,1.751,1.905
PL,Greater Poland Voivodeship,2020-02-27,3.503,11.265,0.555,5.346,3.32,2.285
PL,Greater Poland Voivodeship,2020-02-28,4.221,5.203,0.275,4.027,1.679,3.755
PL,Greater Poland Voivodeship,2020-02-29,1.807,12.488,0.914,11.318,2.028,3.027
PL,Greater Poland Voivodeship,2020-03-01,-4.222,39.243,0.024,8.18,11.362,-1.304
PL,Greater Poland Voivodeship,2020-03-02,7.582,2.465,-1.778,5.019,14.497,27.035
PL,Greater Poland Voivodeship,2020-03-03,-1.388,-3.734,1.387,2.235,-2.471,2.684
PL,Greater Poland Voivodeship,2020-03-04,9.617,23.032,0.361,7.934,2.929,2.269
PL,Greater Poland Voivodeship,2020-03-05,6.333,31.01,0.08,7.392,2.327,2.924
PL,Greater Poland Voivodeship,2020-03-06,3.815,5.509,0.562,5.696,2.924,3.363
PL,Greater Poland Voivodeship,2020-03-07,7.39,7.164,1.041,17.051,5.705,1.745
PL,Greater Poland Voivodeship,2020-03-08,19.253,91.166,-1.596,39.086,26.293,3.753
PL,Greater Poland Voivodeship,2020-03-09,7.385,10.248,-1.682,4.907,14.008,26.429
PL,Greater Poland Voivodeship,2020-03-10,16.858,12.361,0.838,5.872,-1.439,2.36
PL,Greater Poland Voivodeship,2020-03-11,31.1,22.77,2.349,3.672,-12.161,-5.682
PL,Greater Poland Voivodeship,2020-03-12,22.808,-10.632,7.674,-15.202,-29.82,-17.855
PL,Greater Poland Voivodeship,2020-03-13,8.524,-28.771,12.018,-29.899,-43.195,-21.232
PL,Greater Poland Voivodeship,2020-03-14,-16.169,-2.13,10.578,-49.737,-40.526,-13.918
PL,Greater Poland Voivodeship,2020-03-15,-43.503,-3.932,10.334,-71.571,-54.195,-27.73
PL,Greater Poland Voivodeship,2020-03-16,-19.399,1.297,13.686,-48.77,-49.079,-21.162
PL,Greater Poland Voivodeship,2020-03-17,-27.894,24.593,17.447,-53.042,-56.181,-39.449
PL,Greater Poland Voivodeship,2020-03-18,-22.389,40.044,17.232,-50.178,-55.553,-41.183
PL,Greater Poland Voivodeship,2020-03-19,-23.401,2.911,18.493,-52.75,-58.863,-41.449
PL,Greater Poland Voivodeship,2020-03-20,-21.95,-21.323,20.79,-55.41,-61.956,-40.729
PL,Greater Poland Voivodeship,2020-03-21,-30.069,-16.264,14.298,-62.078,-58.908,-26.688
PL,Greater Poland Voivodeship,2020-03-22,-51.832,-29.533,11.935,-75.503,-66.059,-33.853
PL,Greater Poland Voivodeship,2020-03-23,-22.846,-21.664,16.622,-50.929,-55.891,-28.371
PL,Greater Poland Voivodeship,2020-03-24,-20.002,-12.618,19.955,-50.274,-61.155,-43.253
PL,Greater Poland Voivodeship,2020-03-25,-27.524,-28.397,21.217,-57.78,-64.276,-45.472
PL,Greater Poland Voivodeship,2020-03-26,-29.886,-23.162,21.696,-58.461,-64.759,-45.678
PL,Greater Poland Voivodeship,2020-03-27,-27.186,-18.466,22.61,-58.22,-65.082,-44.162
