state,county,date,grocery/pharmacy,parks,residential,retail/recreation,transitstations,workplace
TT,Overall,2020-02-23,26.638,48.716,-3.879,36.764,17.482,9.998
TT,Overall,2020-02-24,-14.611,153.059,11.958,-10.47,-7.858,-73.409
TT,Overall,2020-02-25,-27.345,122.572,14.967,-21.341,8.696,-74.896
TT,Overall,2020-02-26,10.17,14.849,4.595,0.086,20.23,-15.697
TT,Overall,2020-02-27,10.479,10.18,2.563,3.344,14.983,-6.324
TT,Overall,2020-02-28,12.178,9.229,1.851,7.54,16.504,-3.512
TT,Overall,2020-02-29,13.618,10.35,1.058,8.611,13.724,1.418
TT,Overall,2020-03-01,15.321,14.872,0.184,15.164,14.621,2.805
TT,Overall,2020-03-02,16.976,4.502,-0.171,10.636,15.462,0.584
TT,Overall,2020-03-03,14.75,2.806,0.242,6.58,8.944,0.636
TT,Overall,2020-03-04,12.071,0.99,0.531,3.964,9.219,0.516
TT,Overall,2020-03-05,4.033,1.673,1.002,-0.506,5.232,-0.23
TT,Overall,2020-03-06,6.408,5.183,0.521,2.647,4.841,1.776
TT,Overall,2020-03-07,5.719,4.467,1.311,2.261,-1.248,3.323
TT,Overall,2020-03-08,6.706,13.936,0.138,7.533,-7.311,3.596
TT,Overall,2020-03-09,4.687,-1.087,0.812,1.198,-1.521,-0.136
TT,Overall,2020-03-10,5.241,1.477,0.707,0.563,1.242,-0.039
TT,Overall,2020-03-11,5.333,-0.141,1.294,-0.378,-1.28,-0.707
TT,Overall,2020-03-12,23.687,0.558,0.892,-1.174,-2.616,-1.495
TT,Overall,2020-03-13,25.931,-5.183,2.258,-2.175,-9.682,-0.809
TT,Overall,2020-03-14,12.018,-15.035,6.262,-14.906,-21.834,-3.057
TT,Overall,2020-03-15,-0.652,-22.718,5.172,-17.065,-27.654,-5.179
TT,Overall,2020-03-16,21.621,-18.007,9.62,-13.714,-22.813,-21.361
TT,Overall,2020-03-17,5.875,-19.936,12.443,-25.493,-25.59,-26.058
TT,Overall,2020-03-18,7.524,-19.657,13.865,-27.249,-35.082,-29.309
TT,Overall,2020-03-19,-3.875,-23.985,15.274,-33.342,-40.668,-31.312
TT,Overall,2020-03-20,-0.262,-26.801,16.703,-33.881,-42.03,-28.528
TT,Overall,2020-03-21,-7.149,-40.311,14.156,-41.27,-49.283,-21.088
TT,Overall,2020-03-22,-17.557,-41.689,10.242,-44.443,-48.632,-22.442
TT,Overall,2020-03-23,-8.572,-28.718,15.857,-32.201,-48.161,-32.771
TT,Overall,2020-03-24,-9.002,-30.274,17.153,-34.184,-51.181,-35.212
TT,Overall,2020-03-25,-7.607,-33.941,18.385,-36.121,-53.52,-36.88
TT,Overall,2020-03-26,6.564,-32.492,18.375,-32.135,-56.127,-38.498
TT,Overall,2020-03-27,19.973,-26.675,17.433,-24.552,-54.134,-34.25
TT,Overall,2020-03-28,9.567,-37.479,13.007,-28.541,-57.704,-21.221
TT,Overall,2020-03-29,9.826,-39.582,9.316,-28.621,-69.929,-17.119
TT,Overall,2020-03-30,-71.874,-76.685,36.532,-86.172,-86.437,-85.112
TT,Overall,2020-03-31,-33.136,-62.615,28.851,-65.483,-72.05,-63.795
TT,Overall,2020-04-01,-31.377,-60.103,29.207,-63.181,-71.957,-64.736
TT,Overall,2020-04-02,-32.347,-58.29,29.167,-62.476,-73.726,-65.076
TT,Overall,2020-04-03,-28.666,-57.395,30.893,-61.78,-75.039,-63.034
TT,Overall,2020-04-04,-36.802,-63.627,22.496,-66.294,-77.667,-50.816
TT,Overall,2020-04-05,-41.028,-66.75,15.459,-64.897,-81.689,-40.568
