state,county,date,grocery/pharmacy,parks,residential,retail/recreation,transitstations,workplace
NO,Overall,2020-02-23,9.387,-0.25,-1.823,-0.863,7.221,-1.809
NO,Overall,2020-02-24,0.608,21.161,0.258,0.91,2.842,-4.683
NO,Overall,2020-02-25,1.287,13.377,0.519,1.317,-0.603,-3.994
NO,Overall,2020-02-26,1.762,23.279,0.091,1.72,1.238,-3.865
NO,Overall,2020-02-27,2.55,14.378,0.72,0.962,-0.336,-5.022
NO,Overall,2020-02-28,3.038,19.827,0.646,1.206,1.363,-5.248
NO,Overall,2020-02-29,-1.201,2.39,0.172,-4.165,1.623,-1.638
NO,Overall,2020-03-01,2.175,-30.255,0.317,-9.748,-1.023,-1.206
NO,Overall,2020-03-02,2.175,3.906,0.783,-1.73,0.21,-1.577
NO,Overall,2020-03-03,1.097,6.484,0.548,-1.032,-1.936,-1.256
NO,Overall,2020-03-04,0.98,8.663,0.868,-2.996,0.894,-1.733
NO,Overall,2020-03-05,4.023,26.077,0.212,0.275,3.198,-1.905
NO,Overall,2020-03-06,3.247,18.199,0.441,-2.43,1.613,-1.736
NO,Overall,2020-03-07,0.366,29.176,0.126,-6.612,1.203,-1.532
NO,Overall,2020-03-08,-1.967,-37.542,0.74,-10.74,-8.68,-2.002
NO,Overall,2020-03-09,1.914,11.22,1.056,-3.732,-1.708,-1.657
NO,Overall,2020-03-10,2.384,-3.959,1.673,-5.156,-6.959,-1.324
NO,Overall,2020-03-11,9.185,10.317,2.519,-6.1,-8.663,-2.622
NO,Overall,2020-03-12,51.564,-1.111,5.327,-6.496,-20.17,-10.573
NO,Overall,2020-03-13,4.704,2.965,14.423,-33.67,-38.964,-35.593
NO,Overall,2020-03-14,-9.438,26.438,8.177,-47.148,-36.965,-23.001
NO,Overall,2020-03-15,-38.56,-49.937,10.713,-71.322,-53.692,-27.094
NO,Overall,2020-03-16,-8.918,21.729,17.604,-39.247,-48.767,-47.616
NO,Overall,2020-03-17,-14.953,10.169,19.261,-44.491,-53.528,-51.042
NO,Overall,2020-03-18,-15.457,18.385,20.091,-46.01,-54.979,-51.713
NO,Overall,2020-03-19,-11.383,24.443,20.384,-43.964,-55.847,-52.422
NO,Overall,2020-03-20,-12.172,30.933,21.078,-44.223,-55.484,-51.738
NO,Overall,2020-03-21,-9.847,80.558,9.208,-49.382,-42.387,-33.181
NO,Overall,2020-03-22,-32.153,-8.216,11.795,-65.467,-56.743,-34.236
NO,Overall,2020-03-23,-13.681,-1.065,19.565,-41.089,-57.742,-52.054
NO,Overall,2020-03-24,-14.053,-7.644,20.287,-44.812,-58.832,-52.639
NO,Overall,2020-03-25,-12.61,0.265,20.243,-44.576,-57.935,-51.89
NO,Overall,2020-03-26,-10.428,28.953,19.886,-43.394,-56.224,-51.797
NO,Overall,2020-03-27,-9.387,16.513,20.735,-42.137,-57.345,-50.348
NO,Overall,2020-03-28,-8.117,29.027,10.2,-46.673,-50.196,-33.181
NO,Overall,2020-03-29,-31.617,-4.751,11.462,-64.669,-57.463,-34.284
NO,Overall,2020-03-30,-11.014,37.068,17.992,-36.58,-52.772,-50.891
NO,Overall,2020-03-31,-6.646,23.479,18.294,-35.648,-52.279,-50.676
NO,Overall,2020-04-01,-5.582,17.856,18.541,-36.329,-53.617,-50.2
NO,Overall,2020-04-02,-3.751,-7.385,19.812,-36.986,-58.159,-50.552
NO,Overall,2020-04-03,-3.387,12.908,19.49,-34.825,-53.399,-49.04
NO,Overall,2020-04-04,-2.997,31.915,9.197,-39.74,-45.69,-31.015
NO,Overall,2020-04-05,-22.171,14.181,10.685,-60.539,-52.289,-31.943
