state,county,date,grocery/pharmacy,parks,residential,retail/recreation,transitstations,workplace
Connecticut,Overall,2020-02-16,-5.142,-3.609,-0.257,5.236,2.898,-0.331
Connecticut,Overall,2020-02-17,1.033,32.677,6.403,11.124,-0.678,-29.26
Connecticut,Overall,2020-02-18,-4.909,-14.471,2.883,-1.052,0.054,-7.929
Connecticut,Overall,2020-02-19,-1.227,12.319,0.041,1.875,3.568,-0.128
Connecticut,Overall,2020-02-20,-1.326,2.347,0.3,1.785,2.963,1.568
Connecticut,Overall,2020-02-21,-5.024,-3.145,0.685,0.852,1.381,1.233
Connecticut,Overall,2020-02-22,-1.285,74.53,-1.503,9.54,9.738,3.017
Connecticut,Overall,2020-02-23,0.227,64.456,-0.977,8.571,14.008,2.263
Connecticut,Overall,2020-02-24,1.857,44.616,-0.48,4.138,3.077,3.611
Connecticut,Overall,2020-02-25,-1.242,3.911,0.031,1.074,0.807,2.472
Connecticut,Overall,2020-02-26,1.451,2.858,-0.421,4.859,2.397,1.533
Connecticut,Overall,2020-02-27,0.581,4.009,-0.085,3.244,2.547,2.847
Connecticut,Overall,2020-02-28,-0.397,0.524,-0.383,3.529,2.81,2.957
Connecticut,Overall,2020-02-29,0.467,27.512,-1.53,9.032,5.743,2.494
Connecticut,Overall,2020-03-01,5.185,-0.587,-0.896,10.399,10.144,3.255
Connecticut,Overall,2020-03-02,8.133,30.582,-0.664,7.185,2.503,3.723
Connecticut,Overall,2020-03-03,9.549,18.969,-0.732,6.145,5.219,3.159
Connecticut,Overall,2020-03-04,8.093,21.976,-0.666,6.486,3.515,2.046
Connecticut,Overall,2020-03-05,7.631,28.649,-0.961,6.677,5.095,3.417
Connecticut,Overall,2020-03-06,1.15,1.311,0.516,1.606,1.715,1.732
Connecticut,Overall,2020-03-07,5.516,49.837,-1.168,9.813,7.366,2.726
Connecticut,Overall,2020-03-08,3.159,55.14,-0.376,8.058,9.523,1.78
Connecticut,Overall,2020-03-09,8.103,94.784,-0.618,8.538,1.564,2.077
Connecticut,Overall,2020-03-10,8.89,23.662,0.333,3.857,0.43,1.07
Connecticut,Overall,2020-03-11,12.312,30.057,0.483,5.208,-2.982,-0.756
Connecticut,Overall,2020-03-12,34.011,9.582,1.538,5.314,-8.578,-2.102
Connecticut,Overall,2020-03-13,30.29,5.941,6.307,-3.589,-17.672,-11.64
Connecticut,Overall,2020-03-14,16.056,95.502,3.337,-7.308,-11.673,-2.959
Connecticut,Overall,2020-03-15,4.278,55.979,4.53,-12.693,-19.39,-7.757
Connecticut,Overall,2020-03-16,26.091,16.129,9.289,-7.009,-24.562,-23.349
Connecticut,Overall,2020-03-17,8.232,-9.582,14.102,-27.083,-30.29,-31.182
Connecticut,Overall,2020-03-18,6.223,46.515,14.12,-26.857,-30.304,-33.96
Connecticut,Overall,2020-03-19,2.37,-12.418,17.52,-33.197,-40.081,-36.313
Connecticut,Overall,2020-03-20,11.569,11.882,18.267,-31.807,-40.679,-37.068
Connecticut,Overall,2020-03-21,0.74,100.238,11.335,-38.194,-38.14,-25.679
Connecticut,Overall,2020-03-22,-14.733,27.108,10.952,-43.144,-48.027,-28.814
Connecticut,Overall,2020-03-23,-23.859,-45.873,20.886,-47.379,-53.139,-44.784
Connecticut,Overall,2020-03-24,-15.61,17.111,20.748,-42.992,-46.162,-47.54
Connecticut,Overall,2020-03-25,-19.163,-21.188,22.128,-46.384,-50.702,-49.039
Connecticut,Overall,2020-03-26,-14.338,54.756,21.064,-41.267,-48.243,-48.271
Connecticut,Overall,2020-03-27,-15.707,55.305,22.357,-41.702,-50.872,-47.423
Connecticut,Overall,2020-03-28,-20.261,28.752,15.047,-48.552,-54.994,-35.483
Connecticut,Overall,2020-03-29,-31.916,-51.615,14.579,-55.775,-64.381,-37.843
