state,county,date,grocery/pharmacy,parks,residential,retail/recreation,transitstations,workplace
AE,Overall,2020-02-23,3.247,3.375,0.857,-0.52,-1.16,3.737
AE,Overall,2020-02-24,0.387,5.132,0.983,-2.664,-1.061,3.489
AE,Overall,2020-02-25,1.541,3.388,0.955,-2.552,-2.382,3.21
AE,Overall,2020-02-26,1.322,-3.454,0.674,-2.157,-1.901,3.006
AE,Overall,2020-02-27,4.633,-0.631,0.737,0.901,-1.381,2.84
AE,Overall,2020-02-28,4.998,-0.91,0.894,0.91,-1.347,1.109
AE,Overall,2020-02-29,7.328,-1.424,0.375,1.603,-1.208,4.696
AE,Overall,2020-03-01,10.368,1.786,0.61,3.124,-0.65,4.2
AE,Overall,2020-03-02,6.93,1.458,1.106,0.266,-2.241,4.168
AE,Overall,2020-03-03,6.272,0.036,1.09,-0.301,-4.764,3.744
AE,Overall,2020-03-04,6.91,-2.397,1.636,-1.302,-5.094,3.363
AE,Overall,2020-03-05,6.16,-2.176,2.324,-2.787,-5.378,3.296
AE,Overall,2020-03-06,5.214,-8.069,3.218,-6.757,-9.058,0.342
AE,Overall,2020-03-07,5.994,1.142,2.141,-2.55,-7.827,3.965
AE,Overall,2020-03-08,7.642,5.537,3.058,1.044,-8.934,-0.625
AE,Overall,2020-03-09,4.443,3.563,3.525,-2.671,-10.007,-1.13
AE,Overall,2020-03-10,5.579,3.298,3.947,-3.558,-11.058,-2.19
AE,Overall,2020-03-11,5.504,,3.798,-4.309,-12.271,-2.113
AE,Overall,2020-03-12,5.671,-5.991,5.047,-8.265,-14.925,-2.515
AE,Overall,2020-03-13,2.577,-15.073,5.065,-15.666,-20.437,-1.598
AE,Overall,2020-03-14,3.992,-11.833,4.036,-11.582,-17.438,1.798
AE,Overall,2020-03-15,10.942,-10.648,5.143,-6.495,-15.118,-3.621
AE,Overall,2020-03-16,8.125,-14.103,6.392,-11.259,-16.776,-6.375
AE,Overall,2020-03-17,4.845,-17.679,7.468,-16.106,-21.575,-8.693
