state,county,date,grocery/pharmacy,parks,residential,retail/recreation,transitstations,workplace
RW,Overall,2020-02-16,-0.991,-2.427,-1.279,1.295,4.834,6.245
RW,Overall,2020-02-17,,7.822,0.5,0.771,4.662,6.518
RW,Overall,2020-02-18,-2.127,9.172,0.314,-0.252,,4.347
RW,Overall,2020-02-19,-8.211,6.53,0.993,-4.161,1.175,1.909
RW,Overall,2020-02-20,-5.195,4.867,1.091,-3.461,2.384,2.92
RW,Overall,2020-02-21,-2.179,3.477,-0.378,0.77,9.466,2.685
RW,Overall,2020-02-22,3.462,10.539,-2.1,4.177,16.327,3.489
RW,Overall,2020-02-23,-1.817,2.427,-0.588,-0.13,5.294,-0.403
RW,Overall,2020-02-24,-4.999,6.258,0.709,-4.241,2.886,3.638
RW,Overall,2020-02-25,-3.457,7.643,0.442,-2.141,0.925,2.745
RW,Overall,2020-02-26,-1.457,2.177,-1.669,2.522,7.286,1.604
RW,Overall,2020-02-27,-1.429,,-0.509,-0.955,8.582,1.691
RW,Overall,2020-02-28,-3.269,10.43,1.062,3.411,9.045,-1.027
RW,Overall,2020-02-29,-4.57,7.246,1.383,-2.625,2.881,-10.164
RW,Overall,2020-03-01,-1.157,-4.855,-1.216,-4.274,13.58,-0.806
RW,Overall,2020-03-02,-1.486,1.564,0.69,-3.856,5.106,2.653
RW,Overall,2020-03-03,-0.133,2.293,0.788,-1.763,3.7,2.669
RW,Overall,2020-03-04,3.443,2.177,-0.963,5.296,8.931,2.597
RW,Overall,2020-03-05,-1.818,0.695,-0.413,-0.716,7.867,1.691
RW,Overall,2020-03-06,3.632,2.781,-0.668,3.521,11.779,1.105
RW,Overall,2020-03-07,10.109,15.15,-3.413,11.934,22.57,5.006
RW,Overall,2020-03-08,3.8,3.641,-0.951,8.29,17.263,1.41
RW,Overall,2020-03-09,1.216,8.604,0.581,2.314,7.326,5.002
RW,Overall,2020-03-10,-1.596,8.407,0.069,2.015,4.162,4.728
RW,Overall,2020-03-11,-1.324,3.628,-1.646,2.774,6.581,3.437
RW,Overall,2020-03-12,-3.896,,0.575,-0.955,9.059,3.842
RW,Overall,2020-03-13,-2.058,6.258,0.299,0.11,5.89,4.027
RW,Overall,2020-03-14,9.694,7.246,-1.39,5.251,16.567,11.074
RW,Overall,2020-03-15,-0.826,-7.282,5.743,-12.953,-7.596,1.41
RW,Overall,2020-03-16,-0.27,8.604,7.047,-10.925,-2.442,-13.567
RW,Overall,2020-03-17,-12.233,3.822,8.896,-18.892,-12.949,-20.666
RW,Overall,2020-03-18,-14.436,-2.177,8.468,-19.42,-15.042,-23.599
RW,Overall,2020-03-19,-14.285,-1.391,9.746,-22.794,-13.112,-23.975
RW,Overall,2020-03-20,-18.039,0.695,10.424,-25.416,-22.297,-23.926
RW,Overall,2020-03-21,-13.018,-3.294,8.408,-25.18,-27.372,-8.495
RW,Overall,2020-03-22,-31.227,-14.564,15.926,-46.241,-59.615,-24.175
RW,Overall,2020-03-23,-44.59,-0.782,25.942,-51.926,-68.156,-57.831
RW,Overall,2020-03-24,-55.98,-3.822,29.155,-58.312,-71.221,-62.835
RW,Overall,2020-03-25,-57.347,-11.609,27.907,-57.25,-71.686,-63.771
RW,Overall,2020-03-26,-57.919,-15.992,29.108,-60.027,-72.71,-63.471
RW,Overall,2020-03-27,-60.898,-11.125,34.161,-62.496,-76.356,-62.223
RW,Overall,2020-03-28,-54.84,-12.516,22.108,-57.879,-73.473,-42.629
RW,Overall,2020-03-29,-56.671,-18.205,22.414,-56.345,-75.036,-30.823
