state,county,date,grocery/pharmacy,parks,residential,retail/recreation,transitstations,workplace
IL,Overall,2020-02-16,0.84,11.852,-0.054,2.253,1.107,1.179
IL,Overall,2020-02-17,0.849,9.371,-0.073,3.251,0.72,0.768
IL,Overall,2020-02-18,-0.436,8.032,-0.154,1.96,1.072,0.541
IL,Overall,2020-02-19,-4.979,-10.465,0.779,-3.45,-2.289,0.433
IL,Overall,2020-02-20,1.562,8.865,-0.169,2.937,0.308,0.629
IL,Overall,2020-02-21,2.513,44.134,-0.956,4.913,6.218,3.909
IL,Overall,2020-02-22,-1.623,-13.204,0.727,-1.683,-2.798,-0.027
IL,Overall,2020-02-23,0.97,9.179,0.266,0.556,0.019,0.836
IL,Overall,2020-02-24,-0.596,1.936,0.938,0.27,-1.888,-0.655
IL,Overall,2020-02-25,-1.79,-5.289,0.801,1.675,-1.996,-0.595
IL,Overall,2020-02-26,1.353,23.073,-0.663,4.278,2.233,0.801
IL,Overall,2020-02-27,3.434,24.41,-0.519,3.898,2.673,0.673
IL,Overall,2020-02-28,5.058,81.254,-1.592,7.361,11.299,3.893
IL,Overall,2020-02-29,2.352,10.91,-0.064,0.156,,1.201
IL,Overall,2020-03-01,9.153,13.362,-0.936,7.612,2.799,0.419
IL,Overall,2020-03-02,18.968,105.569,12.942,30.156,-4.76,-68.276
IL,Overall,2020-03-03,3.61,10.201,-0.257,0.473,0.764,2.952
IL,Overall,2020-03-04,9.335,27.45,-0.685,4.288,3.541,2.356
IL,Overall,2020-03-05,12.643,23.344,0.482,0.762,-0.276,1.305
IL,Overall,2020-03-06,7.294,-7.054,2.17,-4.526,-5.381,2.655
IL,Overall,2020-03-07,28.782,33.348,0.419,2.794,3.358,6.342
IL,Overall,2020-03-08,18.404,31.82,1.147,7.48,1.412,-0.13
IL,Overall,2020-03-09,16.964,26.452,4.708,1.034,-5.921,-15.257
IL,Overall,2020-03-10,11.256,47.364,8.098,-0.688,-8.048,-35.532
IL,Overall,2020-03-11,8.54,43.984,5.257,-3.255,-7.984,-20.207
IL,Overall,2020-03-12,10.637,-16.769,5.8,-20.97,-14.098,-3.064
IL,Overall,2020-03-13,4.854,-36.256,8.192,-27.811,-25.213,-25.491
IL,Overall,2020-03-14,57.91,-31.19,6.187,-34.194,-17.655,-7.503
IL,Overall,2020-03-15,29.226,14.142,15.494,-34.521,-29.014,-33.478
IL,Overall,2020-03-16,14.241,25.867,17.225,-40.117,-30.789,-37.368
IL,Overall,2020-03-17,-5.236,-43.492,21.62,-54.055,-44.245,-41.314
IL,Overall,2020-03-18,-0.463,-49.903,26.201,-58.505,-50.109,-49.879
IL,Overall,2020-03-19,-11.814,-54.172,28.743,-62.293,-53.868,-51.802
IL,Overall,2020-03-20,-26.659,-59.89,19.111,-68.753,-59.255,-55.161
IL,Overall,2020-03-21,-38.636,-57.846,15.624,-79.781,-53.451,-40.765
IL,Overall,2020-03-22,-17.879,-31.936,27.217,-61.418,-55.02,-55.069
IL,Overall,2020-03-23,-13.37,-32.261,27.861,-60.912,-52.264,-55.408
IL,Overall,2020-03-24,-11.292,-44.424,28.319,-61.749,-53.532,-55.736
IL,Overall,2020-03-25,-12.956,-45.45,28.846,-63.413,-55.372,-56.865
IL,Overall,2020-03-26,-32.851,-65.887,33.54,-74.65,-64.013,-59.23
IL,Overall,2020-03-27,-37.035,-66.201,20.116,-75.201,-62.945,-58.637
IL,Overall,2020-03-28,-45.167,-80.023,17.038,-86.873,-65.108,-46.203
IL,Overall,2020-03-29,-12.609,-56.038,30.147,-67.513,-60.834,-58.911
