state,county,date,grocery/pharmacy,parks,residential,retail/recreation,transitstations,workplace
KR,Overall,2020-02-23,-18.113,-11.857,8.359,-31.303,-25.287,-9.492
KR,Overall,2020-02-24,6.236,6.411,7.677,-20.989,-15.294,-5.853
KR,Overall,2020-02-25,-12.633,-38.156,9.913,-32.608,-25.885,-10.488
KR,Overall,2020-02-26,-7.298,5.164,9.315,-29.22,-22.236,-10.829
KR,Overall,2020-02-27,-10.424,0.575,9.454,-30.131,-24.169,-10.301
KR,Overall,2020-02-28,-16.576,-37.957,13.139,-36.656,-29.809,-11.838
KR,Overall,2020-02-29,-9.737,-12.552,12.478,-37.64,-31.707,-9.73
KR,Overall,2020-03-01,-7.988,-17.323,11.348,-40.642,-36.26,-15.995
KR,Overall,2020-03-02,-0.782,9.927,9.188,-23.053,-19.577,-8.406
KR,Overall,2020-03-03,-6.998,2.436,7.796,-24.035,-20.8,-8.775
KR,Overall,2020-03-04,-10.384,-7.181,10.041,-29.65,-25.414,-10.518
KR,Overall,2020-03-05,-11.4,-1.706,9.382,-28.277,-24.876,-8.939
KR,Overall,2020-03-06,-8.055,0.572,10.16,-26.788,-22.297,-8.624
KR,Overall,2020-03-07,-7.338,-16.087,11.348,-32.42,-29.503,-7.942
KR,Overall,2020-03-08,-13.606,34.244,8.557,-26.852,-23.725,-13.85
KR,Overall,2020-03-09,1.131,16.075,8.098,-18.54,-16.595,-6.079
KR,Overall,2020-03-10,-11.336,-32.255,9.233,-26.834,-24.543,-8.712
KR,Overall,2020-03-11,-2.998,23.519,7.925,-21.938,-18.045,-8.214
KR,Overall,2020-03-12,-4.757,18.548,7.746,-23.03,-19.679,-6.992
KR,Overall,2020-03-13,-4.616,1.99,9.328,-23.728,-19.91,-7.15
KR,Overall,2020-03-14,0.968,3.946,8.838,-24.568,-22.076,-5.32
KR,Overall,2020-03-15,0.591,-3.093,8.785,-28.363,-28.651,-12.325
KR,Overall,2020-03-16,1.066,22.705,7.693,-16.675,-16.109,-5.552
KR,Overall,2020-03-17,-4.697,11.864,6.402,-18.765,-17.022,-5.941
KR,Overall,2020-03-18,-0.925,47.444,7.055,-19.203,-15.762,-7.045
KR,Overall,2020-03-19,-13.414,-17.648,9.135,-28.333,-25.059,-6.915
KR,Overall,2020-03-20,-1.727,17.408,8.031,-20.189,-16.81,-5.594
KR,Overall,2020-03-21,3.988,30.907,7.438,-21.289,-18.354,-5.022
KR,Overall,2020-03-22,-8.021,52.091,6.567,-20.057,-17.241,-12.426
KR,Overall,2020-03-23,6.084,47.007,6.781,-14.575,-13.28,-5.258
KR,Overall,2020-03-24,0.073,40.523,5.502,-16.211,-13.415,-5.972
KR,Overall,2020-03-25,1.122,60.711,6.619,-17.937,-13.531,-7.637
KR,Overall,2020-03-26,-7.855,3.007,8.402,-24.978,-21.465,-7.258
KR,Overall,2020-03-27,-3.628,3.603,9.771,-22.661,-19.844,-7.54
KR,Overall,2020-03-28,1.827,15.881,8.14,-22.927,-20.464,-6.651
KR,Overall,2020-03-29,10.658,51.419,6.275,-19.331,-17.261,-11.571
KR,Overall,2020-03-30,4.225,59.781,6.587,-13.005,-11.924,-5.75
KR,Overall,2020-03-31,2.129,54.062,4.909,-11.317,-9.547,-5.439
KR,Overall,2020-04-01,0.433,44.176,7.073,-17.986,-14.721,-7.513
KR,Overall,2020-04-02,-1.762,43.73,6.542,-18.04,-14.654,-6.314
KR,Overall,2020-04-03,0.813,36.365,7.27,-17.548,-12.538,-6.35
KR,Overall,2020-04-04,5.409,25.24,7.139,-19.308,-16.494,-7.877
KR,Overall,2020-04-05,13.602,46.328,5.73,-16.792,-14.48,-12.615
