state,county,date,grocery/pharmacy,parks,residential,retail/recreation,transitstations,workplace
HR,Overall,2020-02-23,5.463,18.282,-1.948,9.635,13.538,1.978
HR,Overall,2020-02-24,7.149,18.59,-0.531,3.985,5.146,0.778
HR,Overall,2020-02-25,9.898,15.589,0.298,1.203,3.05,1.311
HR,Overall,2020-02-26,1.442,-8.741,2.209,-7.947,-7.819,-0.584
HR,Overall,2020-02-27,-0.477,5.455,1.123,-0.414,-0.904,-0.093
HR,Overall,2020-02-28,0.319,0.521,1.05,-2.907,-1.42,0.078
HR,Overall,2020-02-29,1.634,2.045,0.398,-0.628,-5.964,1.304
HR,Overall,2020-03-01,-5.005,-39.111,1.589,-8.426,-6.487,-2.111
HR,Overall,2020-03-02,2.41,4.109,0.011,2.103,5.167,2.202
HR,Overall,2020-03-03,-2.327,1.521,1.048,-0.772,0.881,2.103
HR,Overall,2020-03-04,1.646,4.523,0.339,3.375,0.845,2.041
HR,Overall,2020-03-05,2.261,18.359,-0.388,3.126,3.407,2.508
HR,Overall,2020-03-06,2.601,-8.7,0.833,-2.111,0.769,1.079
HR,Overall,2020-03-07,5.553,10.957,-0.533,6.72,-1.596,2.778
HR,Overall,2020-03-08,11.029,8.627,-1.746,13.383,9.448,2.133
HR,Overall,2020-03-09,2.481,15.263,-0.518,1.313,2.84,2.164
HR,Overall,2020-03-10,5.182,18.821,-0.049,2.064,3.436,2.6
HR,Overall,2020-03-11,11.302,26.712,-0.689,3.063,3.466,2.199
HR,Overall,2020-03-12,20.911,24.87,-0.333,0.678,1.451,1.167
HR,Overall,2020-03-13,26.923,-5.105,2.715,-10.612,-10.569,-1.913
HR,Overall,2020-03-14,9.239,1.169,3.689,-18.233,-22.399,-4.365
HR,Overall,2020-03-15,2.598,2.905,3.656,-24.014,-25.208,-7.888
HR,Overall,2020-03-16,17.522,13.046,8.607,-19.329,-35.51,-23.842
HR,Overall,2020-03-17,-1.405,17.363,11.053,-29.202,-41.493,-29.148
HR,Overall,2020-03-18,7.144,13.937,11.801,-30.097,-45.075,-32.96
HR,Overall,2020-03-19,-14.119,13.608,15.134,-57.399,-51.061,-40.212
HR,Overall,2020-03-20,-19.775,4.428,18.056,-65.087,-56.707,-44.645
HR,Overall,2020-03-21,-27.941,-28.44,13.108,-73.421,-61.29,-40.773
HR,Overall,2020-03-22,-49.184,-56.812,10.889,-78.924,-56.091,-43.952
HR,Overall,2020-03-23,-38.807,-51.595,21.788,-73.325,-77.085,-57.835
HR,Overall,2020-03-24,-49.705,-60.138,26.903,-79.709,-81.848,-63.32
HR,Overall,2020-03-25,-48.667,-58.62,27.334,-79.676,-81.867,-64.087
HR,Overall,2020-03-26,-50.774,-59.711,27.968,-79.446,-81.703,-64.163
HR,Overall,2020-03-27,-46.891,-51.886,29.051,-78.311,-79.067,-62.58
HR,Overall,2020-03-28,-50.913,-41.686,18.152,-78.97,-74.142,-51.799
HR,Overall,2020-03-29,-56.94,-44.609,14.913,-82.431,-74.494,-50.085
HR,Overall,2020-03-30,-45.624,-41.159,24.551,-74.583,-78.793,-61.244
HR,Overall,2020-03-31,-44.979,-42.458,24.938,-74.194,-77.338,-60.95
HR,Overall,2020-04-01,-41.207,-34.047,23.893,-72.241,-75.95,-60.274
HR,Overall,2020-04-02,-42.894,-21.996,23.704,-70.644,-74.111,-59.727
HR,Overall,2020-04-03,-37.755,-25.474,25.142,-70.758,-73.447,-58.672
HR,Overall,2020-04-04,-40.999,-31.46,15.718,-73.014,-67.786,-47.334
HR,Overall,2020-04-05,-44.192,-30.529,13.378,-76.467,-66.35,-46.485
