state,county,date,grocery/pharmacy,parks,residential,retail/recreation,transitstations,workplace
KE,Overall,2020-02-23,3.296,2.025,-0.739,3.413,5.139,4.906
KE,Overall,2020-02-24,-1.192,7.075,-0.723,2.281,4.119,4.514
KE,Overall,2020-02-25,-3.824,1.496,-0.402,0.567,3.343,5.854
KE,Overall,2020-02-26,-5.588,-1.009,-0.361,0.277,1.385,5.345
KE,Overall,2020-02-27,-1.637,0.766,-0.497,1.649,4.228,5.408
KE,Overall,2020-02-28,2.142,3.328,-1.365,4.096,5.29,8.293
KE,Overall,2020-02-29,2.142,8.201,-1.524,4.723,5.41,5.079
KE,Overall,2020-03-01,0.529,2.745,-0.927,2.927,3.049,5.997
KE,Overall,2020-03-02,-2.034,0.858,-0.196,1.164,2.168,5.528
KE,Overall,2020-03-03,2.593,3.864,-1.245,3.412,4.825,6.577
KE,Overall,2020-03-04,1.758,4.56,-0.317,2.44,4.516,5.879
KE,Overall,2020-03-05,6.441,5.923,-1.419,5.204,7.812,7.071
KE,Overall,2020-03-06,7.258,8.928,-1.813,6.313,8.152,8.468
KE,Overall,2020-03-07,6.537,7.347,-1.709,6.06,9.446,5.102
KE,Overall,2020-03-08,5.232,5.805,-1.262,5.865,6.91,7.299
KE,Overall,2020-03-09,1.761,3.388,-0.264,2.788,4.68,7.373
KE,Overall,2020-03-10,2.669,4.736,-0.608,3.199,6.894,7.112
KE,Overall,2020-03-11,2.125,5.246,-0.673,3.465,5.94,7.539
KE,Overall,2020-03-12,2.292,0.766,-0.38,3.982,6.574,7.32
KE,Overall,2020-03-13,5.823,1.527,-0.783,4.9,5.513,9.156
KE,Overall,2020-03-14,2.812,-0.641,0.788,0.906,3.348,4.654
KE,Overall,2020-03-15,3.26,-0.945,0.895,-0.784,1.423,6.615
KE,Overall,2020-03-16,5.916,-5.66,3.607,0.704,0.166,-0.507
KE,Overall,2020-03-17,1.187,-9.098,5.048,-4.955,0.208,-9.342
KE,Overall,2020-03-18,-0.529,-14.246,7.788,-6.992,-2.681,-12.644
KE,Overall,2020-03-19,-2.238,-16.761,9.27,-10.304,-5.569,-15.284
KE,Overall,2020-03-20,-4.125,-16.289,10.233,-14.463,-8.932,-13.964
KE,Overall,2020-03-21,-9.836,-12.088,8.511,-18.967,-11.788,-7.962
KE,Overall,2020-03-22,-15.348,-11.97,9.442,-23.592,-18.727,-8.22
KE,Overall,2020-03-23,-11.788,-19.339,14.165,-23.371,-19.65,-24.372
KE,Overall,2020-03-24,-14.761,-24.013,16.629,-28.366,-22.02,-30.051
KE,Overall,2020-03-25,-13.248,-25.223,18.066,-29.664,-25.592,-33.635
KE,Overall,2020-03-26,-21.767,-24.699,18.923,-34.33,-29.83,-36.112
KE,Overall,2020-03-27,-28.6,-24.982,22.682,-42.15,-36.175,-36.497
KE,Overall,2020-03-28,-29.802,-21.059,19.114,-43.544,-36.906,-25.201
KE,Overall,2020-03-29,-32.802,-20.25,17.354,-44.72,-39.298,-21.832
KE,Overall,2020-03-30,-28.902,-24.485,21.376,-36.407,-35.334,-37.939
KE,Overall,2020-03-31,-27.115,-25.343,21.17,-36.665,-33.544,-38.395
KE,Overall,2020-04-01,-27.607,-25.304,21.685,-37.548,-35.265,-38.581
KE,Overall,2020-04-02,-25.817,-25.061,21.979,-37.441,-34.509,-38.429
KE,Overall,2020-04-03,-23.958,-21.85,23.212,-39.406,-34.812,-35.202
KE,Overall,2020-04-04,-22.747,-16.659,17.519,-39.168,-33.112,-22.697
KE,Overall,2020-04-05,-28.64,-18.9,16.719,-43.081,-37.382,-19.715
