state,county,date,grocery/pharmacy,parks,residential,retail/recreation,transitstations,workplace
NL,Overall,2020-02-23,-10.566,-26.363,0.411,0.513,1.691,-2.572
NL,Overall,2020-02-24,-7.467,3.559,3.188,9.482,-4.462,-20.855
NL,Overall,2020-02-25,7.747,35.052,2.301,15.963,-3.845,-16.837
NL,Overall,2020-02-26,-0.183,8.846,2.139,2.905,-6.939,-13.294
NL,Overall,2020-02-27,-1.906,-8.634,2.937,-1.14,-7.626,-12.836
NL,Overall,2020-02-28,1.538,10.824,2.051,2.23,-5.025,-12.882
NL,Overall,2020-02-29,0.972,-6.281,0.808,-3.176,-2.664,-2.154
NL,Overall,2020-03-01,3.567,2.395,0.167,3.337,1.64,0.735
NL,Overall,2020-03-02,-1.841,-12.138,1.113,-6.089,-1.393,1.544
NL,Overall,2020-03-03,5.944,20.211,0.342,2.244,-1.996,2.296
NL,Overall,2020-03-04,2.654,21.299,0.174,1.614,-0.934,2.823
NL,Overall,2020-03-05,-1.23,-10.987,1.167,-5.439,-3.418,2.039
NL,Overall,2020-03-06,3.592,9.818,0.718,0.657,-0.751,1.868
NL,Overall,2020-03-07,1.811,38.858,-0.277,2.231,2.546,0.285
NL,Overall,2020-03-08,1.33,-5.453,0.83,-1.377,-2.677,-0.213
NL,Overall,2020-03-09,1.628,5.872,1.173,-2.556,-4.281,0.988
NL,Overall,2020-03-10,1.651,-5.869,2.476,-6.926,-6.377,-1.038
NL,Overall,2020-03-11,4.305,18.259,2.12,-2.275,-7.709,-2.172
NL,Overall,2020-03-12,11.871,-5.111,3.727,-8.622,-11.678,-3.264
NL,Overall,2020-03-13,23.675,-1.955,6.494,-12.288,-25.716,-11.167
NL,Overall,2020-03-14,8.004,20.671,5.83,-18.812,-27.859,-6.21
NL,Overall,2020-03-15,10.637,15.436,5.412,-31.675,-32.972,-10.662
NL,Overall,2020-03-16,15.844,32.954,13.588,-25.084,-48.638,-37.909
NL,Overall,2020-03-17,11.378,51.213,15.888,-28.748,-53.985,-44.039
NL,Overall,2020-03-18,3.149,34.173,15.542,-34.627,-55.321,-44.217
NL,Overall,2020-03-19,0.961,3.119,18.66,-40.603,-61.043,-47.312
NL,Overall,2020-03-20,-3.002,-5.742,18.528,-44.942,-60.581,-45.074
NL,Overall,2020-03-21,-8.559,24.369,12.092,-48.755,-53.936,-26.373
NL,Overall,2020-03-22,-17.27,14.75,9.56,-59.618,-57.22,-31.463
NL,Overall,2020-03-23,-8.9,3.74,18.28,-37.65,-64.821,-49.593
NL,Overall,2020-03-24,-8.878,24.599,19.763,-42.328,-65.246,-51.907
NL,Overall,2020-03-25,-14.662,27.332,18.307,-44.896,-63.704,-50.757
NL,Overall,2020-03-26,-13.814,11.305,20.778,-47.556,-66.072,-52.642
NL,Overall,2020-03-27,-14.065,21.606,19.721,-48.504,-63.739,-49.497
NL,Overall,2020-03-28,-18.574,0.735,13.434,-54.399,-60.708,-30.18
NL,Overall,2020-03-29,-29.354,-29.747,10.986,-65.03,-67.82,-35.008
NL,Overall,2020-03-30,-20.736,-8.234,19.352,-43.938,-67.587,-52.255
NL,Overall,2020-03-31,-12.703,40.671,19.243,-40.537,-64.541,-52.332
NL,Overall,2020-04-01,-16.468,16.076,18.054,-43.62,-64.419,-50.06
NL,Overall,2020-04-02,-16.059,-4.259,20.721,-47.202,-67.49,-52.027
NL,Overall,2020-04-03,-13.212,0.578,19.612,-48.086,-65.33,-48.737
NL,Overall,2020-04-04,-15.83,13.265,12.633,-50.854,-57.245,-28.501
NL,Overall,2020-04-05,-16.266,41.293,8.329,-54.173,-52.032,-28.942
