state,county,date,grocery/pharmacy,parks,residential,retail/recreation,transitstations,workplace
JO,Overall,2020-02-23,0.695,8.499,-0.725,-2.054,2.8,4.658
JO,Overall,2020-02-24,3.401,8.263,-1.252,-0.851,-1.123,4.215
JO,Overall,2020-02-25,-0.612,-2.774,0.27,-6.231,0.367,2.794
JO,Overall,2020-02-26,6.432,10.377,-1.479,2.605,,4.642
JO,Overall,2020-02-27,7.45,19.078,-2.433,5.742,-1.367,8.165
JO,Overall,2020-02-28,15.136,79.169,-3.937,14.928,-4.118,1.14
JO,Overall,2020-02-29,3.394,11.827,-0.6,1.692,-2.981,-0.861
JO,Overall,2020-03-01,0.916,3.8,0.06,-1.554,-4.282,3.767
JO,Overall,2020-03-02,6.116,3.807,-0.641,-1.947,-2.433,4.917
JO,Overall,2020-03-03,6.957,11.424,-1.187,0.28,-2.939,6.063
JO,Overall,2020-03-04,8.291,21.322,-1.766,3.168,-6.823,6.073
JO,Overall,2020-03-05,7.082,25.791,-2.683,3.984,-4.955,9.23
JO,Overall,2020-03-06,0.375,5.821,1.246,-3.62,-16.254,-1.359
JO,Overall,2020-03-07,4.667,12.268,0.606,1.625,-14.379,-0.993
JO,Overall,2020-03-08,4.36,15.962,-1.699,0.7,-13.174,5.462
JO,Overall,2020-03-09,3.401,10.45,-1.281,-0.952,-8.983,4.622
JO,Overall,2020-03-10,4.449,17.136,-1.456,-0.767,-9.737,5.146
JO,Overall,2020-03-11,7.707,20.836,-2.454,3.132,-14.936,5.306
JO,Overall,2020-03-12,-2.838,-10.316,2.147,-11.794,-16.061,4.405
JO,Overall,2020-03-13,-7.416,-17.963,3.7,-13.68,-32.291,-4.23
JO,Overall,2020-03-14,3.295,-9.182,3.303,-8.147,-25.952,-5.477
JO,Overall,2020-03-15,7.803,-4.353,3.551,-9.532,-14.492,-7.883
JO,Overall,2020-03-16,5.907,-12.799,5.143,-15.273,-12.352,-15.08
JO,Overall,2020-03-17,30.185,-19.503,6.986,-9.078,-56.768,-23.647
JO,Overall,2020-03-18,-23.854,-48.401,21.714,-50.64,-84.083,-61.171
JO,Overall,2020-03-19,-33.402,-56.104,27.188,-60.08,-86.969,-62.677
JO,Overall,2020-03-20,20.461,-41.996,10.931,-29.402,-85.605,-32.133
JO,Overall,2020-03-21,-81.811,-74.928,27.808,-87.042,-93.812,-78.12
JO,Overall,2020-03-22,-86.13,-74.005,33.197,-91.094,-90.738,-82.446
JO,Overall,2020-03-23,-84.372,-74.527,32.268,-90.945,-91.329,-82.088
JO,Overall,2020-03-24,-67.133,-65.852,29.566,-81.64,-88.367,-79.202
JO,Overall,2020-03-25,-29.342,-51.643,24.292,-63.895,-87.586,-73.013
JO,Overall,2020-03-26,-32.72,-57.305,29.494,-66.209,-87.823,-72.578
JO,Overall,2020-03-27,-39.993,-58.295,16.378,-69.723,-89.506,-44.517
JO,Overall,2020-03-28,-54.772,-61.485,23.774,-76.308,-90.305,-66.626
JO,Overall,2020-03-29,-52.301,-59.495,27.47,-74.258,-88.762,-72.894
JO,Overall,2020-03-30,-49.481,-57.758,25.341,-72.831,-88.335,-71.343
JO,Overall,2020-03-31,-48.771,-57.203,26.565,-72.649,-89.469,-71.003
JO,Overall,2020-04-01,-45.774,-58.616,26.697,-70.519,-87.771,-71.067
JO,Overall,2020-04-02,-41.166,-58.789,29.911,-69.533,-89.702,-69.525
JO,Overall,2020-04-03,-84.578,-73.68,21.42,-91.198,-93.84,-62.315
JO,Overall,2020-04-04,-44.915,-56.49,21.913,-70.728,-91.357,-62.787
JO,Overall,2020-04-05,-44.454,-56.178,26.803,-69.036,-87.939,-69.748
