state,county,date,grocery/pharmacy,parks,residential,retail/recreation,transitstations,workplace
New Hampshire,Overall,2020-02-16,0.295,21.441,-0.686,10.051,11.304,3.592
New Hampshire,Overall,2020-02-17,7.71,54.951,5.27,20.655,13.329,-21.396
New Hampshire,Overall,2020-02-18,-10.963,-5.544,3.184,-11.566,11.779,-1.124
New Hampshire,Overall,2020-02-19,1.605,9.805,0.518,6.792,14.706,0.183
New Hampshire,Overall,2020-02-20,1.897,15.725,0.12,6.647,17.049,2.599
New Hampshire,Overall,2020-02-21,-2.701,8.717,1.06,1.475,12.358,0.938
New Hampshire,Overall,2020-02-22,-2.549,39.294,-1.359,3.663,27.08,3.365
New Hampshire,Overall,2020-02-23,-1.684,40.325,-1.815,6.331,27.857,3.97
New Hampshire,Overall,2020-02-24,-1.621,57.985,0.732,5.492,13.329,-9.492
New Hampshire,Overall,2020-02-25,-2.673,14.35,1.243,3.872,10.471,-9.543
New Hampshire,Overall,2020-02-26,0.936,-1.188,1.346,8.032,5.632,-9.709
New Hampshire,Overall,2020-02-27,-6.607,-6.097,2.981,0.76,4.65,-10.971
New Hampshire,Overall,2020-02-28,-2.303,5.479,1.838,2.361,3.783,-10.388
New Hampshire,Overall,2020-02-29,-1.885,8.312,-1.564,4.34,13.184,1.154
New Hampshire,Overall,2020-03-01,3.338,-10.032,-1.448,9.768,23.013,3.277
New Hampshire,Overall,2020-03-02,2.879,11.462,-0.507,6.078,9.3,3.256
New Hampshire,Overall,2020-03-03,6.192,42.724,-0.637,8.506,16.033,2.147
New Hampshire,Overall,2020-03-04,1.705,-4.159,0.483,5.31,6.884,1.776
New Hampshire,Overall,2020-03-05,6.542,25.352,-0.478,6.313,8.37,3.983
New Hampshire,Overall,2020-03-06,-0.882,2.74,0.767,0.597,3.026,2.761
New Hampshire,Overall,2020-03-07,1.54,14.924,-0.874,6.514,9.264,4.47
New Hampshire,Overall,2020-03-08,3.368,44.653,-1.09,9.387,19.783,3.277
New Hampshire,Overall,2020-03-09,5.724,97.428,-0.693,9.293,6.82,1.585
New Hampshire,Overall,2020-03-10,5.888,30.983,0.656,7.519,5.235,-1.191
New Hampshire,Overall,2020-03-11,9.427,13.37,0.61,7.193,4.38,0.498
New Hampshire,Overall,2020-03-12,29.733,11.874,1.087,7.246,2.48,0.895
New Hampshire,Overall,2020-03-13,31.166,-22.665,4.029,-1.484,-12.61,-2.831
New Hampshire,Overall,2020-03-14,19.754,23.425,2.427,-4.958,-4.276,-0.24
New Hampshire,Overall,2020-03-15,10.222,23.999,2.956,-6.233,-7.267,-3.151
New Hampshire,Overall,2020-03-16,27.563,21.913,7.077,-1.236,-11.469,-16.349
New Hampshire,Overall,2020-03-17,17.088,-11.741,12.492,-22.009,-13.743,-25.191
New Hampshire,Overall,2020-03-18,14.743,60.61,13.314,-22.637,-17.209,-29.425
New Hampshire,Overall,2020-03-19,6.117,-23.748,17.181,-33.348,-30.068,-32.441
New Hampshire,Overall,2020-03-20,12.654,10.959,17.933,-32.79,-37.074,-34.384
New Hampshire,Overall,2020-03-21,-2.469,37.216,10.679,-39.483,-31.0,-24.515
New Hampshire,Overall,2020-03-22,-14.624,32.064,9.253,-41.149,-37.951,-27.851
New Hampshire,Overall,2020-03-23,-9.794,-17.867,17.371,-37.679,-38.128,-39.45
New Hampshire,Overall,2020-03-24,-16.513,-7.175,20.646,-42.193,-35.993,-45.199
New Hampshire,Overall,2020-03-25,-8.926,-5.348,20.255,-38.47,-36.295,-43.084
New Hampshire,Overall,2020-03-26,-2.159,59.69,19.458,-34.35,-36.268,-42.585
New Hampshire,Overall,2020-03-27,-5.574,43.587,20.504,-37.214,-46.91,-42.223
New Hampshire,Overall,2020-03-28,-22.356,24.559,13.342,-50.862,-49.172,-34.176
New Hampshire,Overall,2020-03-29,-35.187,-63.537,13.308,-57.758,-63.386,-38.185
